c_symbol	lua_name	code_bytes	calls_in_scripts
LuaGetChoose	GetChoose	363	8
LuaGetMapNpcWithName	GetMapNpcWithName	342	8
LuaGetItemMagicDesc	GetItemMagicDesc	303	8
LuaGetTaskId	GetTaskId	274	8
LuaStartTask	StartTask	272	8
LuaTONGM_ApplySetTaskValue	TONGM_ApplySetTaskValue	261	8
LuaTONGM_CheckRight	TONGM_CheckRight	249	8
LuaAddItemByIndex	AddItemByIndex	165	8
LuaGetNpcExpRate	GetNpcExpRate	34	8
LuaGetPlatinaEquipIndex	GetPlatinaEquipIndex	27	8
LuaAddShop2Stores	AddShop2Stores	424	7
LuaNW_GetDuty	NW_GetDuty	379	7
LuaLG_GetNextLeague	LG_GetNextLeague	370	7
LuaOpenStoreBox	OpenStoreBox	342	7
LuaPreApplyDungeonMap	PreApplyDungeonMap	216	7
LuaTONG_ApplyAddStoredBuildFund	TONG_ApplyAddStoredBuildFund	203	7
LuaSetEnergy	SetEnergy	202	7
LuaWriteCompoundLog	WriteCompoundLog	167	7
LuaGetItemLevel	GetItemLevel	150	7
LuaSetAForbitSkill	SetAForbitSkill	150	7
LuaReduceOwnExp	ReduceOwnExp	129	7
LuaGetLastOfflineTime	GetLastOfflineTime	100	7
LuaGetLeadLevel	GetLeadLevel	67	7
LuaCancel	Cancel	7	7
LuaDropItemEx	DropItemEx	741	6
LuaOpenProgressBar	OpenProgressBar	581	6
LuaOB_PushString	OB_PushString	562	6
LuaTONG_GetFirstMember	TONG_GetFirstMember	498	6
LuaQueryMapTrap	QueryMapTrap	330	6
LuaIsArenaBegin	IsArenaBegin	323	6
LuaSyncTaskValueMore	SyncTaskValueMore	271	6
LuaGetSkillExp	GetSkillExp	270	6
LuaTONG_GetMoney	TONG_GetMoney	258	6
LuaKillNpcWithIdx	KillNpcWithIdx	229	6
LuaSetItemStackCount	SetItemStackCount	220	6
LuaTWS_ApplyUse	TWS_ApplyUse	212	6
LuaReturnDungenonMap	ReturnDungenonMap	202	6
LuaCheckStoreBoxState	CheckStoreBoxState	196	6
LuaTONG_SetTaskTemp	TONG_SetTaskTemp	188	6
LuaTONGM_GetTaskValue	TONGM_GetTaskValue	181	6
LuaTONG_GetTaskTemp	TONG_GetTaskTemp	150	6
LuaGetTaskEventID	GetTaskEventID	148	6
LuaIsItemStackable	IsItemStackable	146	6
LuaGetNpcSeries	GetNpcSeries	136	6
LuaIsDisabledUseTownP	IsDisabledUseTownP	131	6
LuaGetRespect	GetRespect	118	6
LuaGetPlayerCamp	GetPlayerCamp	104	6
LuaCheckGlobalTradeFlag	CheckGlobalTradeFlag	93	6
LuaGetServerName	GetServerName	87	6
LuaAddItemIntoEquipmentBox	AddItemIntoEquipmentBox	26	6
LuaChangeNpcFeature	ChangeNpcFeature	1085	5
LuaAddObstacleObj	AddObstacleObj	575	5
LuaTWS_GetNextWorkshop	TWS_GetNextWorkshop	465	5
LuaAddLocalCountNews	AddLocalCountNews	458	5
LuaQueryWiseManForSB	QueryWiseManForSB	440	5
LuaThrowAllItem	ThrowAllItem	395	5
LuaGetArenaBothSides	GetArenaBothSides	353	5
LuaStackExp	StackExp	342	5
LuaFindSpecItemParam2	FindSpecItemParam2	260	5
LuaHaveBeginWar	HaveBeginWar	242	5
LuaGetWayPointName	GetWayPointName	221	5
LuaTONG_ApplyAddPerStandFund	TONG_ApplyAddPerStandFund	203	5
LuaTONG_ApplySetPerStandFund	TONG_ApplySetPerStandFund	203	5
LuaRemovePlayerEvent	RemovePlayerEvent	183	5
LuaTONG_GetName	TONG_GetName	178	5
LuaTONG_GetTongMapBan	TONG_GetTongMapBan	155	5
LuaTONG_GetWeekBuildFund	TONG_GetWeekBuildFund	155	5
LuaAdd120SkillExp	Add120SkillExp	154	5
LuaApplyDungeonMap	ApplyDungeonMap	154	5
LuaGetOnlineCommissionStatus	GetOnlineCommissionStatus	143	5
LuaOpenOwnTask	OpenOwnTask	135	5
LuaSetJoinTongTime	SetJoinTongTime	134	5
LuaGetLoginTime	GetLoginTime	116	5
LuaGetRoleCreateTimeData	GetRoleCreateTimeData	116	5
LuaGetBoxLockState	GetBoxLockState	105	5
LuaOpenAllTask	OpenAllTask	104	5
LuaIsTransLife	IsTransLife	89	5
LuaOpenCreateTask	OpenCreateTask	76	5
LuaGetProtectTime	GetProtectTime	75	5
LuaUseTownPortal	UseTownPortal	55	5
LuaNW_GetEmperorName	NW_GetEmperorName	32	5
LuaLGM_ApplyRemoveMember	LGM_ApplyRemoveMember	702	4
LuaGetStationPos	GetStationPos	462	4
LuaOB_PushByte	OB_PushByte	364	4
LuaGetDynamicShopID	GetDynamicShopID	345	4
LuaSendScriptData	SendScriptData	337	4
LuaTRepair	TRepair	296	4
LuaGetSkillNextExp	GetSkillNextExp	285	4
LuaUpgradePlatinaItem	UpgradePlatinaItem	282	4
LuaTWS_ApplySetTaskValue	TWS_ApplySetTaskValue	273	4
LuaIsNpcHide	IsNpcHide	242	4
LuaTWS_ApplySetUseLevel	TWS_ApplySetUseLevel	232	4
LuaGetMapParam	GetMapParam	204	4
LuaForbitSyncName	ForbitSyncName	184	4
LuaSelectTaskFinish	SelectTaskFinish	183	4
LuaGetEventTask	GetEventTask	182	4
LuaSetItemNewFeature	SetItemNewFeature	161	4
LuaTONG_GetPerStandFund	TONG_GetPerStandFund	155	4
LuaTONG_GetStoredOffer	TONG_GetStoredOffer	155	4
LuaTONG_GetTongMapTemplate	TONG_GetTongMapTemplate	155	4
LuaAddTongExp	AddTongExp	154	4
LuaAddTongMoney	AddTongMoney	148	4
LuaSetLastOfflineTime	SetLastOfflineTime	136	4
LuaTWS_SetBuildingNpc	TWS_SetBuildingNpc	134	4
LuaGetRestTime	GetRestTime	131	4
LuaGetMapType	GetMapType	125	4
LuaGetNpcDropRateFile	GetNpcDropRateFile	123	4
LuaGetEventTaskCount	GetEventTaskCount	122	4
LuaGetExpPercent	GetExpPercent	122	4
LuaGetAllEquipment	GetAllEquipment	121	4
LuaNW_EmperorHistoryCount	NW_EmperorHistoryCount	119	4
LuaGetPlayerIndex	GetPlayerIndex	115	4
LuaGetWeeklyOffer	GetWeeklyOffer	115	4
LuaTONGM_IsExist	TONGM_IsExist	100	4
LuaCloseShop	CloseShop	99	4
LuaTONG_GetNextMember	TONG_GetNextMember	610	3
LuaGetMapPlayerList	GetMapPlayerList	510	3
LuaSetTongMTask	SetTongMTask	474	3
LuaClearObstacleObj	ClearObstacleObj	413	3
LuaRenameTong	RenameTong	402	3
LuaGetTongMTask	GetTongMTask	378	3
LuaFindFreeRoomByWH	FindFreeRoomByWH	342	3
LuaQueryTongName	QueryTongName	292	3
LuaSetPkReduceState	SetPkReduceState	279	3
LuaIsSigningUp	IsSigningUp	231	3
LuaGetStationName	GetStationName	221	3
LuaPlayMusic	PlayMusic	221	3
LuaFoundryItem	FoundryItem	220	3
LuaDisabledTeam	DisabledTeam	219	3
LuaTONG_ApplyAddWeekBuildFund	TONG_ApplyAddWeekBuildFund	203	3
LuaTONG_ApplySetPauseState	TONG_ApplySetPauseState	203	3
LuaTONG_ApplySetWeekGoalEvent	TONG_ApplySetWeekGoalEvent	203	3
LuaBindItem	BindItem	198	3
LuaNpcDropMoney	NpcDropMoney	197	3
LuaTWS_GetWorkshopCount	TWS_GetWorkshopCount	189	3
LuaSelectTaskStart	SelectTaskStart	183	3
LuaTONG_ApplyAddMoney	TONG_ApplyAddMoney	181	3
LuaGetItemCmd	GetItemCmd	177	3
LuaNotifyWarResult	NotifyWarResult	175	3
LuaAddCumulateOffer	AddCumulateOffer	174	3
LuaForbitSyncAura	ForbitSyncAura	169	3
LuaNotifyArenaResult	NotifyArenaResult	167	3
LuaGetNpcPowerType	GetNpcPowerType	161	3
LuaTONG_GetCurCamp	TONG_GetCurCamp	155	3
LuaTONG_GetMaintainFund	TONG_GetMaintainFund	155	3
LuaTONG_GetStoredBuildFund	TONG_GetStoredBuildFund	155	3
LuaTONG_GetUnionID	TONG_GetUnionID	155	3
LuaTONG_GetWarState	TONG_GetWarState	155	3
LuaTONG_GetWeekGoalEvent	TONG_GetWeekGoalEvent	155	3
LuaRemoveNpcSkillState	RemoveNpcSkillState	153	3
LuaResumeTimer	ResumeTimer	153	3
LuaSuspendTimer	SuspendTimer	153	3
LuaTONGM_GetLastOnlineDate	TONGM_GetLastOnlineDate	150	3
LuaGetTaskValue	GetTaskValue	148	3
LuaForbitTalk	ForbitTalk	142	3
LuaSetLastLogoutTime	SetLastLogoutTime	136	3
LuaGetMaskFeature	GetMaskFeature	131	3
LuaGetPartnerBagLevel	GetPartnerBagLevel	120	3
LuaSetDeathPunish_PK10	SetDeathPunish_PK10	115	3
LuaForbitStamina	ForbitStamina	112	3
LuaDisableTeamChangeCamp	DisableTeamChangeCamp	104	3
LuaNW_CheckText	NW_CheckText	104	3
LuaTONGM_GetOnline	TONGM_GetOnline	104	3
LuaTWS_GetBuildingNpc	TWS_GetBuildingNpc	101	3
LuaGetLastLogoutTime	GetLastLogoutTime	100	3
LuaGetProgressBarMaskEvent	GetProgressBarMaskEvent	68	3
LuaAddPlatinaItem	AddPlatinaItem	27	3
LuaAddItemNoStack	AddItemNoStack	26	3
LuaNW_EmperorHistory	NW_EmperorHistory	941	2
LuaAddTempMagic	AddTempMagic	696	2
LuaGetArenaInfoByCity	GetArenaInfoByCity	666	2
LuaAroundFillString	AroundFillString	652	2
LuaLG_ApplyRemoveLeague	LG_ApplyRemoveLeague	520	2
LuaLeftFillString	LeftFillString	504	2
LuaMakeDateTime	MakeDateTime	494	2
LuaPreviewPlatinaUpgrade	PreviewPlatinaUpgrade	453	2
LuaOpenCityManageUI	OpenCityManageUI	447	2
LuaPreviewPlatinaFromGold	PreviewPlatinaFromGold	437	2
LuaTONG_ApplyDegrade	TONG_ApplyDegrade	352	2
LuaGetItemLife	GetItemLife	325	2
LuaGetWayPointPos	GetWayPointPos	312	2
LuaUpdateSDBRecord	UpdateSDBRecord	312	2
LuaAddMaxResist	AddMaxResist	306	2
LuaKillPlayer	KillPlayer	294	2
LuaGetQuestionPrice	GetQuestionPrice	288	2
LuaTWS_ApplySetUseLevelSet	TWS_ApplySetUseLevelSet	281	2
LuaRightFillString	RightFillString	279	2
LuaGetQuestionTip	GetQuestionTip	277	2
LuaGetPlayerFeature	GetPlayerFeature	271	2
LuaSetRespect	SetRespect	261	2
LuaSetOnlineCommissionStatus	SetOnlineCommissionStatus	255	2
LuaSendSpreaderCDKey	SendSpreaderCDKey	252	2
LuaDoMarry	DoMarry	239	2
LuaFirstTask	FirstTask	236	2
LuaTONGM_ApplySetRetireDate	TONGM_ApplySetRetireDate	234	2
LuaOB_PopString	OB_PopString	228	2
LuaOB_PopInt	OB_PopInt	208	2
LuaSetAutoHangFreeFlag	SetAutoHangFreeFlag	207	2
LuaAttachActor	AttachActor	205	2
LuaTONG_ApplyAddWeekGoalValue	TONG_ApplyAddWeekGoalValue	203	2
LuaTONG_ApplySetCurWeekGoalLevel	TONG_ApplySetCurWeekGoalLevel	203	2
LuaTONG_ApplySetMaintainFund	TONG_ApplySetMaintainFund	203	2
LuaTONG_ApplySetOccupyCityDay	TONG_ApplySetOccupyCityDay	203	2
LuaTONG_ApplySetWeekGoalLevel	TONG_ApplySetWeekGoalLevel	203	2
LuaTONG_ApplySetWeekGoalPlayer	TONG_ApplySetWeekGoalPlayer	203	2
LuaTONG_ApplySetWeekGoalPricePlayer	TONG_ApplySetWeekGoalPricePlayer	203	2
LuaTONG_ApplySetWeekGoalPriceTong	TONG_ApplySetWeekGoalPriceTong	203	2
LuaTONG_ApplySetWeekGoalTotal	TONG_ApplySetWeekGoalTotal	203	2
LuaGetPayTicket	GetPayTicket	201	2
LuaTONG_GetNextTong	TONG_GetNextTong	196	2
LuaAddTicket	AddTicket	192	2
LuaNextTask	NextTask	189	2
LuaSelectTaskAward	SelectTaskAward	183	2
LuaAddWeekGoalOffer	AddWeekGoalOffer	182	2
LuaAddWeeklyOffer	AddWeeklyOffer	174	2
LuaSetPartnerBagLevel	SetPartnerBagLevel	171	2
LuaTONG_GetStandFund	TONG_GetStandFund	170	2
LuaGetItemMaxStackCount	GetItemMaxStackCount	167	2
LuaMoveTongExp	MoveTongExp	163	2
LuaTripC_GetServerName	TripC_GetServerName	163	2
LuaNW_RemarkEmperor	NW_RemarkEmperor	160	2
LuaGetAutoHangExpValue	GetAutoHangExpValue	157	2
LuaTONG_GetCurWeekGoalLevel	TONG_GetCurWeekGoalLevel	155	2
LuaTONG_GetLWeekGoalEvent	TONG_GetLWeekGoalEvent	155	2
LuaTONG_GetWeekGoalPlayer	TONG_GetWeekGoalPlayer	155	2
LuaTONGM_GetOffer	TONGM_GetOffer	150	2
LuaTWS_GetTaskValue	TWS_GetTaskValue	148	2
LuaGetArenaCityArea	GetArenaCityArea	147	2
LuaTWS_GetUseLevelSet	TWS_GetUseLevelSet	141	2
LuaRenameRole	RenameRole	138	2
LuaIsTongWarMap	IsTongWarMap	134	2
LuaSetSkillMaxLevelAddons	SetSkillMaxLevelAddons	126	2
LuaGetItemBelong	GetItemBelong	124	2
LuaGetMapDropRateFile	GetMapDropRateFile	123	2
LuaIsSpectator	IsSpectator	120	2
LuaNW_InEmperorTong	NW_InEmperorTong	120	2
LuaOfflineLive	OfflineLive	117	2
LuaSetDeathReliveFlag	SetDeathReliveFlag	116	2
LuaGetCumulateOffer	GetCumulateOffer	115	2
LuaGetLastExchangeTime	GetLastExchangeTime	100	2
LuaGetWeekGoalOffer	GetWeekGoalOffer	99	2
LuaTONG_WriteLog	TONG_WriteLog	88	2
LuaGetArenaTargetCity	GetArenaTargetCity	80	2
LuaDoRelayScript	DoRelayScript	76	2
LuaNW_OwnSeal	NW_OwnSeal	66	2
LuaTONG_GetFirstTong	TONG_GetFirstTong	60	2
LuaRevivalAllNpc	RevivalAllNpc	45	2
LuaCreateStores	CreateStores	41	2
LuaOpenStores	OpenStores	41	2
LuaTimerFuncForAutoHang	TimerFuncForAutoHang	1558	1
LuaGetItemDiceRollInfo	GetItemDiceRollInfo	1352	1
LuaSTAT_GetGoodsName	STAT_GetGoodsName	1131	1
LuaSwearBrother	SwearBrother	990	1
LuaGetArenaSchedule	GetArenaSchedule	890	1
LuaCheckTicket	CheckTicket	883	1
LuaGetCitySummary	GetCitySummary	754	1
LuaAddVerGoldItem	AddVerGoldItem	742	1
