lua_name	calls_in_scripts
SetName	19
wsGetOpenCost	19
check_skill	19
Load	18
exec	18
Exec	18
SetActivityTask	18
BT_SetType2Task	18
giveAward	18
BT_UpdateMemberCount	18
generateName	18
reset_task	18
wlls_want2go	18
Quan	18
GetOfflineAdvTime	18
ITEM_GetItemVersion	18
a	18
GetProp	18
NPCINFO_GetNpcCurrentLife	18
NpcRun	18
getadatatow	18
OutputMsg	18
ReportBattle	18
GotoSignUpPlace	18
GetMineDungeon	18
IsEqual	18
YDBZ_sdl_setTaskByte	18
SetExp	18
Getlifereplenish_v	18
Getphysicsres_p	18
IsCarryOn	17
MoveTo	17
ResetBonus	17
GetStringTask	17
BT_ReportResult	17
storm_gamename	17
GetNpcIndex	17
GetCurrentDateRefineCount	17
DoTeamProcess	17
GetPK	17
taoNV	17
GetPLData	17
WinBonus	17
SetAuraSkillLevel	17
Getpoisonres_p	17
speak_string	17
wsGetName	17
GiveAward	16
CheckTotalLevel	16
bt_JudgePLAddTitle	16
getName	16
g_GiveItemUI	16
SetResult	16
CheckItem	16
tl_getUpLevelExp	16
Run	16
goto_ctc	16
Sam	16
tl_gettaskcourse	16
goto_sevencityfield	16
exchange_lingpai_main_dlg	16
cp_randomeny	16
cd_transtocity	16
AddAllNpc	16
SetFireResist	16
SetPhysicsResist	16
SetColdResist	16
SetLightResist	16
SetPoisonResist	16
SetLifeReplenish	16
Getfasthitrecover_v	16
Getpoisontimereduce_p	16
refine	16
tong_GetCityStuntID	16
wsGetMaintainCost	16
read	15
AddStrg	15
OptionFunction	15
CheckInMap	15
CheckLevel	15
VnCheckInCity	15
Phong	15
IsOpen	15
bt_setnormaltask2type	15
sf_join	15
quan	15
addWorth	15
SetState	15
Check	15
NotifyTeam	15
CheckAllMaps	15
onCancel	15
biwu_save	15
getowntongname	15
GetFinishedCount	15
tl_gettasktextID	15
SetRandSeed	15
enroll_prise	15
Move	15
use	15
exchange_lingpai_compose	15
OnPlayerJoin	15
UseMapIdx	15
wlls_get_mapid	15
wlls_error_log	15
Trap	15
Getattackspeed_v	15
SetRewindTaskState	15
ContriValueEntryLogic	15
wsGetMaxLevel	15
USE_G_2	15
getinfo	14
Split	14
CallFunction	14
CheckInList	14
d	14
IsHaveTask	14
ComposeGiveUI	14
marshal_down	14
CheckIPBonus	14
validateDate	14
checkGiftCount	14
Process	14
TM_SetTimer	14
Ba	14
findgoldboss	14
tiejiang_city	14
SetRefiningFlag	14
Task_GiveAward	14
Task_AwardRecord	14
writeChapManLog	14
Remove	14
IsAttackableCamp	14
NPCINFO_GetNpcCurrentMaxLife	14
LeaveFight	14
taodoi	14
ketgiaoPhai	14
GetTaskText	14
toColor	14
ReportMemberState	14
AddAword	14
add_dropitem	14
cd_writelog	14
getSigningUpCity	14
getBotCurCamp	14
SetAR	14
SetDP	14
SetMinDamage	14
SetMaxDamage	14
trim_right	14
Getmagic_summonnpctime_v	14
Getmeleedamagereturn_v	14
Getallres_p	14
Getmeleedamagereturn_p	14
Getfatallystrikeres_p	14
Getfreezetimereduce_p	14
Getstuntimereduce_p	14
NewFun	14
seteducationnpcpos	14
ex_add_zhengpai	14
funDeath	14
TaskEntityMatrix	14
USE_G_1	14
LoadLevelData	14
ws_main	14
oldentence	14
AddVit	13
AddEng	13
IsExpired	13
ST_LevelUp	13
GetTaskData	13
Quit	13
get_task	13
MakeOptByProductName	13
offlineCheckPermitRegion	13
NextState	13
saleby_heroling_confirm	13
AddScore	13
writeRecoinLog	13
GetMaster	13
xanh	13
CalcOfflineTime	13
ReturnFromPortal	13
addDialog	13
GetTimerId	13
GMMsg2Player	13
SimCityIsPeaceZone	13
SimCityTableFromFile	13
caidat	13
loadItemTabFiles	13
nt_SetTask	13
strfill_left	13
advanced	13
GetGamerName	13
GetMember	13
CheckOwnerInDungeon	13
AddANpc	13
Inside	13
GetStandings	13
GetTongWarriorCount	13
SetLife	13
Getaddcolddamage_v	13
niumanman_bisaijieguo	13
Msg2PlayerByName	13
SetTaskBit	12
KillMonster	12
AcceptTask	12
CompleteTask	12
delnpcsafe	12
battle_rank_GetSortPlayer0808	12
but_addmissionpoint	12
Factor	12
makeBaseP	12
makeWorthP	12
setTask	12
GetPlantCount	12
Now	12
CallBoss	12
Debug	12
debug_out	12
othertong_SINGLE	12
zhongqiu0808_PlayerLimit	12
DecodeRefiningTask	12
Login	12
gettongownercity	12
the_buy	12
v_mljaward	12
gTask	12
sinh	12
SetNpcCombat	12
SimDuelEnd	12
Update	12
wantpay	12
PlayerSelect	12
toSeries	12
add466	12
removeItems	12
goto_luyencong2	12
tonum	12
GetTimeLine	12
OnInit	12
SetPLData	12
players_entrance	12
cd_addfightnpc	12
CloseDungeon	12
wlls_award_log	12
Kill	12
field	12
RegAll	12
AssociateMap	12
SetKeyData	12
clearLastShituOperation	12
ex_add_zhongli	12
ex_add_xiepai	12
CalcLingluCount	12
wsGetUpgradeCostFund	12
CheckGetBonusTHDNB7	12
SetBit2GetBonusTHDNB7	12
CreateDialog	12
Check_Switch	12
AddDex	11
LoadConfig	11
vCalcExp	11
ITEM_DropRateItem	11
IsNewPlayer	11
CheckValentineLevel	11
max	11
SuDungBanhSinhNhat	11
GetBonusOpenBox	11
bt_addrandfightnpc	11
storm_ask2start	11
BT_BroadAllLadder	11
BT_SetMissionName	11
removeAll	11
init	11
g_AskClientStringEx	11
getMissionInfo	11
checkBaseCondition	11
loadSettings	11
AddPlantCount	11
ConsumeLog	11
lantern_enter_lantern	11
OnExit	11
wl_zonename2zoneid	11
xmas2007_makeSnowMan_compose	11
FuYuan_Add	11
pt_GetTabFileData	11
check_renametong	11
CalcExp	11
task	11
GetTaskState	11
help_quest_step1	11
camp	11
getNodeInfoByNodeName	11
CSP_WriteLog	11
BlessPlayerOffline	11
BlessPlayerOnline	11
ApplyTask	11
get_repair_qualityname	11
itemuseplacecheck	11
iif	11
Pop	11
debug_print	11
GetMissionState	11
GetGameCity	11
cp_station	11
NotifyMatesInMaze	11
IsNpcExist	11
GetWarriorTong	11
CheckMissionCondition	11
messenger_killnpc_jifen	11
SetTong	11
SUS_Chose	11
isMaxItemUse	11
useItem	11
visitMaster	11
L60_get_yes	11
Dan_deng	11
GetVar	10
RegisteMessage	10
show_riddle	10
Pack	10
GetInfo	10
CheckItemInBag	10
MainDialog	10
AddTaskA	10
ResetTaskA	10
pLimitFun	10
bt_autoselectmaparea	10
salemedicine	10
add_end_award	10
branchTask_JoinSJend1	10
BT_ClearPlayerData	10
BT_BroadView	10
BT_BroadGameData	10
getLastError	10
getFromWorth	10
BingoBoxAddExp	10
LiguanLog	10
ComputeWorth	10
IsCityMap	10
getmakeitemsign	10
want_upplatinaeq	10
getItemInfo	10
adddiagnpc	10
prize	10
ST_CheckTextFilter	10
wulin_setdata	10
store_sel_village_extend	10
nay	10
DelPlayer	10
tl_settaskcourse	10
CityStationCommon	10
zhang	10
sTask	10
SetStringTask	10
AddHuongLC	10
SetNpcLevel	10
IsNpcEnemyAround	10
randomRange	10
nodeNameToCoords	10
nv_tudo_xe	10
countMap	10
go	10
ITEM_GetItemExParam	10
gift	10
GetApprenticeNum	10
__award_log	10
RevID2WXY	10
Set	10
daiyitoushi_main	10
take_xp_equip_1	10
SignUpFinal	10
OnJoin	10
chaos	10
wlls_lg_info	10
FindPlayerPosition	10
OnProgressbarTimeout	10
OnProgressbarBreak	10
CheckSignup	10
Bao	10
AddAllTrap	10
CheckLilianItem	10
Getmanamax_p	10
Getstaminamax_p	10
Getlucky_v	10
Getmagic_rangephysicsdamagemin_v	10
Getmagic_rangephysicsdamagemax_v	10
zhengbranch2	10
skillbook_select	10
TaskTalk	10
showboss	10
SetTask2Team	10
messenger_choice	10
LUP_GivePrice	10
IsOver	10
AddSeason	10
L40_get_yes	10
L20_get_yes	10
L20_get_no	10
L30_get_yes	10
L30_get_no	10
member	10
goff_yes	10
addtrap	9
ParseAward	9
GetNpcScript	9
GetWeeklyCount	9
ShowEquipBranchDialog	9
Table2File	9
battles_award_all_singleplayer	9
File_Create	9
IniFile_Save	9
BT_SetRestTime	9
BT_SetMissionDesc	9
storm_addm_mspointex	9
but_pop2home	9
stop	9
SetFinalAward	9
birthday0905_settask_message	9
birthday0905_gettask_message	9
CheckAccount	9
FindMember	9
check_award_condition	9
Spe	9
oncancel	9
addPlayerExpForLimit	9
allbrother_0801_PlayerDo	9
checkCreatLG	9
checkJoinLG	9
zhongqiu0808_ResetTask	9
loadsavevalue	9
EncodeRefiningTask	9
count	9
atan2	9
open_task_trace	9
IpBonus_Close	9
randByProbability	9
DoRescriptFunc	9
SetOfflineLowTime	9
GetTransLifeCount	9
tl_getplayertasktype	9
Tinh	9
skills_update	9
RollbackSkill	9
GetVit	9
GetEng	9
transtoplace	9
GetReward	9
GTaskValue	9
villagequest	9
Add_PointMagic	9
notFightingChar	9
PartyEnd	9
map	9
createTaskSayChienTranh	9
createTaskSayThanhThi	9
createTaskSayTieuThiep	9
add_npc	9
randomaward	9
set_MapType	9
ComputeMasterLoad	9
festival_getgroupid	9
org	9
run	9
GetCurrentVersion	9
gsp_writeLog	9
deny	9
RegMap	9
StartGame	9
CloseGameInMap	9
CloseGame	9
getParamValue	9
_GetPlayerTable	9
WL_clear_pl_state	9
wllstab_additem	9
wlls_get_mapinfo	9
festival_gameover	9
Logout	9
FindRoomWithPlayer	9
FinishTask	9
Signup	9
matrix	9
getadatabetween	9
festival_nianshou	9
festival_give_Item	9
tongwar_GetTypeBonus	9
YDBZ_restore	9
YDBZ_GetTabFileData	9
skilllvelup	9
CheckObject	9
killerCoundTakedTask	9
tongaward_message	9
messenger_giveplayerexp	9
AssertTrapPosition	9
MAINTAIN_R	9
IsAcitve	9
GetFormula	9
L40_get_no	9
common_talk	9
bin	9
GetGlobal	8
answer_ok	8
CheckBitTaskValue	8
Award	8
AddInitNpc	8
cutround_in8	8
cos	8
sin	8
Kinh	8
el	8
CheckCanAccept	8
GetMateName	8
bt_CheckDeathValid	8
bt_checklastbattle	8
storm_goon_start	8
battle_rank_activity	8
battle_rank_award0808	8
False	8
tongaward_battle	8
sf_setflagplayer	8
AddLenhBaiBH	8
load	8
flush	8
SetBigAward	8
DropItemByList	8
plant_tree	8
GetCurExpFromOther	8
CanMakeMaxCount	8
OnUse	8
selectNextTask	8
au06_IsPayed_player	8
sdl_writelog	8
storm_valid_game	8
vt06_isactive	8
tongwar_check_ownerright	8
selfinfo	8
wulin_day2buytabidx	8
wulin_getdata	8
add_killertasknpc	8
writeUseBaiJulog	8
num2datestr	8
onconfirm	8
store_sel_extend	8
AddFinishedCount	8
ClearFinishedCount	8
check_castellan_remedy	8
aexp_gotothd	8
IsIPBonus	8
SetOfflineAdvTime	8
ITEM_GetLatestItemVersion	8
ITEM_CalcItemValue	8
AssignValue	8
yes1	8
GetStrg	8
GetDex	8
GetTaskTextID	8
gsoldier_entance	8
main_former	8
PAY	8
STaskValue	8
DBGetData	8
Hoa	8
ATick	8
NPCINFO_SetNpcCurrentLife	8
bang	8
BotDoSkill	8
JoinFight	8
RemoveAll	8
defection_no	8
award_item	8
GetPlayerLilian	8
giveback_yu	8
verifySrcItems	8
genDesItemsInfo	8
finalCompound	8
christmas_resettask	8
str2xydata	8
add_a_diagnpc	8
addfightnpc	8
getinifiledata	8
GetMapEnterPos	8
rs_error_talk	8
GetEventLeftDay	8
GetEventTime	8
KickOut	8
OnRun	8
bw_getcaptains	8
GetTotalLevel	8
setplayerleaverstate	8
gogamemap	8
chr_rand_tab	8
CSP_EnterClearMapCore	8
GetDungeonList	8
wlls_add_data	8
wlls_check_player	8
wlls_matchresult	8
wlls_add_option	8
wlls_cancreate	8
wlls_check_leavelg	8
tmp_process_data	8
wlls_reg_loaddata	8
festival_sort	8
festival_getsz	8
festival_broadcast	8
festival_get_exptimes	8
GetGate	8
SyncTongWarriorCount	8
CloseTimer	8
StartTimer	8
spawnOneNpc	8
festival_setplayerleaverstate	8
YDBZ_debug	8
GetStatusEnhance_P	8
Getcoldenhance_p	8
Getcastspeed_v	8
Getmanareplenish_v	8
Getstealmana_p	8
Getlightingarmor_v	8
Getrangedamagereturn_p	8
Getpoisonenhance_p	8
ex_add_level20	8
ex_add_level30	8
ex_add_level40	8
ex_add_level50	8
ex_add_level60	8
messenger_killbugbear_inteam	8
IsAround	8
extong_double_award	8
wsGetTypeID	8
SVR_CheckUse	8
wsGetPerMaintainCost	8
CheckGetBonusVLKH1	8
SetBit2GetBonusVLKH1	8
checkBag	8
L50_get_yes	8
oldMain	8
return_no	8
L10_get_yes	8
L10_buy_noMoney	8
check_team	8
RestoreMana	7
RestoreLife	7
RestoreStamina	7
CallNpc	7
CreateNpc	7
ParseAwardTable	7
lua	7
NPCINFO_GetLevel	7
GetTeam	7
pConsume	7
Main	7
pContributionAward	7
NumberIsEven	7
IsInValentine	7
ChangeFeature	7
CheckOwner	7
SetAwardFlag	7
GetTaskA	7
Linh	7
Test	7
CancelTask	7
CheckCompleteTask	7
GiveItemAward	7
CheckUserInputKey	7
bt_exchangeexp	7
BattleBoss_AddBigBoss	7
BT_BroadBattleDesc	7
BT_ViewBattleStart	7
OnlineAward_Check_TransferLife	7
__new	7
GetFinalAward	7
EXP	7
GetRandomAData	7
isCarryOn	7
canJoin	7
setMissionInfo	7
addNpc	7
convert	7
fulushounpc_settask	7
GetLastDlgNpc	7
SetPlantCount	7
RandomKind	7
Grow	7
GiveUIOk	7
GetAwardCount	7
delguanghuan	7
pGetCount	7
DialogMain	7
ReduceUseCount	7
jiefang_0804_ResetTask	7
jf0904_InitTaskctrl	7
set_citybonus_task	7
confirm_mooncake	7
determine_get	7
Announce	7
ResetPerDay	7
CheckFinish	7
award_give	7
getAwardTime	7
storm_anotherday	7
storm_help_award	7
get_tongwar_season	7
wulin_want2query	7
wl_get_zonename	7
wl_want2takematch	7
wl_sure2taketitle	7
wl_createleague	7
selfinfo2next	7
wulin_clearticket	7
gb_AppendTask	7
OnAnswer	7
fBuyCallBack	7
DecodeDateTask	7
AddCurrentDateRefineCount	7
GetRefiningTime	7
WorldEntrance	7
pt_GetTabFileHeight	7
func	7
GetQuestion	7
GetOfflineLowTime	7
apply_usepill	7
GetLevelRepute	7
nothing	7
AssignValue_TaskTalk	7
process	7
tl_checktask	7
SelectTask	7
LockItemStatus	7
AddPlayerExp	7
DBSetData	7
FileSystem_LoadFile	7
add_magic	7
SetNpcTitle	7
ClearMap	7
initCharConfig	7
CreateChar	7
SetNpcBang	7
BotDuelDisarm	7
SimCityCanFight	7
Respawn	7
GetRandomWalkPoint	7
IsValidFighter	7
nv_tudo	7
getPoolByCap	7
_createSingle	7
IsTongKimMap	7
OnPlayerDeath	7
open	7
canChange	7
ClearAll	7
checkOnlyUseInMap	7
QueryWiseManCancel	7
TaskEvent	7
CallSjNpc	7
sex2Word	7
GetNewLLInfo	7
GetPlayerNewLilian	7
make_option	7
getgroupid	7
initData	7
writeCompoundLog	7
CoreDataChanged	7
getDistance	7
addGiftitem	7
callPlayerFunctionParamList	7
countArrayRate	7
cityID2LeagueName	7
ResetTaskGroup	7
UnReg	7
IpBonus_Start	7
IsBegin	7
ConvertTMToTime	7
GetEventLeftTime	7
ConvertTimeToTM	7
del	7
bw_branchtask_win	7
kickout	7
OnTrigger	7
do_snowman	7
GetWarOfCity	7
dw_convert_first	7
dw_convert	7
fld_landingpos	7
fld_getadata	7
wlls_player_type	7
wlls_award_pl_exp	7
wlls_player_level	7
wlls_get_mems	7
wlls_help	7
IterPlayers	7
CreateTask	7
QueryLeftCount	7
Initialize	7
AddPosition	7
FindCampTong	7
YDBZ_sdl_writeLog	7
safe_open	7
ExecuteRelyScript	7
SetLilianItem	7
setPlayerLastShituOperation	7
EventSkillLevel	7
GetEventSkillLevel	7
IsNewAccount	7
SelectItem	7
equipexTaskState	7
TireReduce	7
tl_selecttask	7
AssertPosition	7
add_one_building	7
tongGetWeekBuildUpper	7
tongGetWorkshopUpperLevel	7
LUP_PriceInfo	7
USE_R	7
GET_DESC	7
use_g_1_ok	7
ShowDialog	7
SelectAward	7
L50_get_no	7
BuyChristmasCard	7
Match	6
getlocal	6
StopGlbMSTimer	6
StartGlbMSTimer	6
Require	6
ReSort	6
CheckDay	6
DropSingleItem	6
GetPhase	6
Subcribers2File	6
TableFromFile	6
Oncancel	6
CheckGetAwardBelong	6
_limit	6
_Limit	6
AddTalkNpc	6
IsInMap	6
DelTree	6
IsClearMark	6
pProductFun	6
RemoveAllItem	6
getNpcInfo	6
sf_buildfightnpcdata	6
BT_GetBattleParam	6
bt_pop2signmap	6
bt_sortbthonour	6
SongJinAward	6
True	6
BattleBoss_AddBoss	6
sf_callfightnpc	6
but_getminplayerlimit	6
danh	6
add_rank_award	6
sf_setflagposinfo	6
sf_createflag	6
createRandomTask	6
TaskSay	6
BeiDouChuanGong_zuodan	6
SendResult	6
SendGetAwardResult	6
GetTime	6
zhuansheng_get_gre	6
talk	6
giftLevelup	6
Select	6
Upgrade	6
InMapList	6
CaculateScore	6
GetSuccessRate	6
makeItemUI	6
funmsg	6
funtalkmake	6
funtalkmareial	6
funtalkmlimit	6
check_money	6
getTaskByte	6
addTaskByte	6
IsForbidMap	6
ITEM_SetLeftUsageTime	6
UsePlantTool	6
FindNpc	6
get_citybonus_task	6
lingpaizhizao_do	6
summonBoss	6
au06_sort	6
determine_process	6
canGetMoreExp	6
countMoreExpNum	6
writeMoreExpData	6
award	6
_CheckPlayer	6
GetAwardById	6
ResetDailyTask	6
confirm_make	6
springfestival08_lib_AddAward	6
isSpringTime	6
setAwardTime	6
TM_GetRestCount	6
vt06_addzi	6
Title_GetTitleName	6
tongwar_getsignpos	6
checkBangHuiLimit	6
wulin_canregister	6
champ_checktitle	6
wl_get_awardcount	6
wl_getticket	6
wulin_save	6
xmas2007_SnowManItem_AddItem	6
makeyuebing	6
GiveItem	6
selectofflineskill	6
savevalue	6
findgoldboss_Step2	6
