enum	size	enumerator	value
FORBIT_LEVEL	4	forbit_for_inown	2
FORBIT_LEVEL	4	forbit_for_all	3
FORBIT_LEVEL	4	forbit_level_end	3
FOUNDRY_RESULT_TYPE	4	error_unknown	-1
FOUNDRY_RESULT_TYPE	4	foundry_succeed	0
FOUNDRY_RESULT_TYPE	4	foundry_failure	1
FOUNDRY_RESULT_TYPE	4	foundry_no_money	2
FOUNDRY_RESULT_TYPE	4	foundry_level_full	3
FOUNDRY_RESULT_TYPE	4	foundry_lack_resource	4
FOUNDRY_RESULT_TYPE	4	foundry_level_differ	5
FOUNDRY_RESULT_TYPE	4	foundry_no_magic	6
FOUNDRY_RESULT_TYPE	4	foundry_series_differ	7
FOUNDRY_RESULT_TYPE	4	foundry_not_accord	8
FOUNDRY_RESULT_TYPE	4	foundry_accord_rule	9
FOUNDRY_RESULT_TYPE	4	foundry_incorrect_opera	10
FOUNDRY_RESULT_TYPE	4	result_type_num	11
GOLDBOSSTYPE	4	boss_noboss	0
GOLDBOSSTYPE	4	boss_removewhendeath_callback	1
GOLDBOSSTYPE	4	boss_neverremove	2
GOLDBOSSTYPE	4	boss_removewhendeath	3
INVENTORY_ROOM	4	room_equipment	0
INVENTORY_ROOM	4	room_repository	1
INVENTORY_ROOM	4	room_trade	2
INVENTORY_ROOM	4	room_tradeback	3
INVENTORY_ROOM	4	room_trade1	4
INVENTORY_ROOM	4	room_immediacy	5
INVENTORY_ROOM	4	room_beset	6
INVENTORY_ROOM	4	room_ext1	7
INVENTORY_ROOM	4	room_ext2	8
INVENTORY_ROOM	4	room_ext3	9
INVENTORY_ROOM	4	room_giveitem	10
INVENTORY_ROOM	4	room_distill	11
INVENTORY_ROOM	4	room_enchase	12
INVENTORY_ROOM	4	room_atlas	13
INVENTORY_ROOM	4	room_partnerbag	14
INVENTORY_ROOM	4	room_num	15
ITEM_PART	4	itempart_head	0
ITEM_PART	4	itempart_body	1
ITEM_PART	4	itempart_belt	2
ITEM_PART	4	itempart_weapon	3
ITEM_PART	4	itempart_foot	4
ITEM_PART	4	itempart_cuff	5
ITEM_PART	4	itempart_amulet	6
ITEM_PART	4	itempart_ring1	7
ITEM_PART	4	itempart_ring2	8
ITEM_PART	4	itempart_pendant	9
ITEM_PART	4	itempart_active_attrib_begin	10
ITEM_PART	4	itempart_horse	10
ITEM_PART	4	itempart_mask	11
ITEM_PART	4	itempart_mantle	12
ITEM_PART	4	itempart_signet	13
ITEM_PART	4	itempart_shipin	14
ITEM_PART	4	itempart_active_attrib_end	14
ITEM_PART	4	itempart_num	15
ITEM_POSITION	4	pos_hand	1
ITEM_POSITION	4	pos_equip	2
ITEM_POSITION	4	pos_equiproom	3
ITEM_POSITION	4	pos_repositoryroom	4
ITEM_POSITION	4	pos_traderoom	5
ITEM_POSITION	4	pos_trade1	6
ITEM_POSITION	4	pos_immediacy	7
ITEM_POSITION	4	pos_beset	8
ITEM_POSITION	4	pos_ext1	9
ITEM_POSITION	4	pos_ext2	10
ITEM_POSITION	4	pos_ext3	11
ITEM_POSITION	4	pos_giveitemroom	12
ITEM_POSITION	4	pos_orecompound	13
ITEM_POSITION	4	pos_propmineupdate	14
ITEM_POSITION	4	pos_cryoliteupdate	15
ITEM_POSITION	4	pos_distillbox	16
ITEM_POSITION	4	pos_distillroom	17
ITEM_POSITION	4	pos_forgebox	18
ITEM_POSITION	4	pos_enchasebox	19
ITEM_POSITION	4	pos_enchaseroom	20
ITEM_POSITION	4	pos_atlasbox	21
ITEM_POSITION	4	pos_atlasroom	22
ITEM_POSITION	4	pos_partnerbag	23
ITEM_POSITION	4	pos_num	24
KE_LIMITTIME_STATE	4	emLIMITTIME_HEALTH	0
KE_LIMITTIME_STATE	4	emLIMITTIME_TIRED	1
KE_LIMITTIME_STATE	4	emLIMITTIME_ILLHEALTH	2
KE_LOGLEVEL	4	emLOGLEVEL_FATAL	0
KE_LOGLEVEL	4	emLOGLEVEL_ERROR	1
KE_LOGLEVEL	4	emLOGLEVEL_WARN	2
KE_LOGLEVEL	4	emLOGLEVEL_INFO	3
KE_LOGLEVEL	4	emLOGLEVEL_DEBUG	4
KE_LOGOUTTYPE	4	emLOGOUTTYPE_NONE	0
KE_LOGOUTTYPE	4	emLOGOUTTYPE_GAMEWORLD	1
KE_LOGOUTTYPE	4	emLOGOUTTYPE_BISHOP	2
KE_MAXDURABILITYTYPE	4	emNEWPOINT	0
KE_MAXDURABILITYTYPE	4	emPERCENT	1
KE_MAXDURABILITYTYPE	4	emADDPOINT	2
KE_MAXDURABILITYTYPE	4	emADDPERCENT	3
KE_MAXDURABILITYTYPE	4	emCOUNT	4
KE_NATIONALWAR_POSITION	4	emNWPOS_NONE	0
KE_NATIONALWAR_POSITION	4	emNWPOS_EMPEROR	1
KE_NATIONALWAR_POSITION	4	emNWPOS_KING	2
KE_NATIONALWAR_POSITION	4	emNWPOS_INSTATEABLE	3
KE_NATIONALWAR_POSITION	4	emNWPOS_MINISTER	3
KE_NATIONALWAR_POSITION	4	emNWPOS_MARSHAL	4
KE_NATIONALWAR_POSITION	4	emNWPOS_PIONEER	5
KE_NATIONALWAR_POSITION	4	emNWPOS_COUNT	6
KE_NORMALPKSTATUS	4	emNORMALPKSTAT_EXERCISE	0
KE_NORMALPKSTATUS	4	emNORMALPKSTAT_FIGHT	1
KE_NORMALPKSTATUS	4	emNORMALPKSTAT_BUTCHER	2
KE_NORMALPKSTATUS	4	emNORMALPKSTAT_COUNT	3
KE_PRODUCT_LANGUAGE	4	emKPRODUCT_LANGUAGE_BEGIN	0
KE_PRODUCT_LANGUAGE	4	emKPRODUCT_LANGUAGE_DEFAULT	0
KE_PRODUCT_LANGUAGE	4	emKPRODUCT_LANGUAGE_GBK	1
KE_PRODUCT_LANGUAGE	4	emKPRODUCT_LANGUAGE_GB2132	2
KE_PRODUCT_LANGUAGE	4	emKPRODUCT_LANGUAGE_BIG5	3
KE_PRODUCT_LANGUAGE	4	emKPRODUCT_LANGUAGE_MALAI_C_C	4
KE_PRODUCT_LANGUAGE	4	emKPRODUCT_LANGUAGE_VIETNAM	5
KE_PRODUCT_LANGUAGE	4	emKPRODUCT_LANGUAGE_END	5
KE_PRODUCT_REGION	4	emKPRODUCT_REGION_BEGIN	0
KE_PRODUCT_REGION	4	emKPRODUCT_REGION_CN	0
KE_PRODUCT_REGION	4	emKPRODUCT_REGION_CNIB	1
KE_PRODUCT_REGION	4	emKPRODUCT_REGION_TW	2
KE_PRODUCT_REGION	4	emKPRODUCT_REGION_MY	3
KE_PRODUCT_REGION	4	emKPRODUCT_REGION_VN	4
KE_PRODUCT_REGION	4	emKPRODUCT_REGION_END	4
KE_SAVEACTION	4	saveaction_shop	0
KE_SAVEACTION	4	saveaction_trade	1
KE_SAVEACTION	4	saveaction_stall	2
KE_SAVEACTION	4	saveaction_count	3
KE_SERVERTYPE	4	emSERVER_GODDESS	0
KE_SERVERTYPE	4	emSERVER_BISHOP	1
KE_SERVERTYPE	4	emSERVER_HOST	2
KE_SERVERTYPE	4	emSERVER_TONG	3
KE_SERVERTYPE	4	emSERVER_CHAT	4
KE_SERVERTYPE	4	emSERVER_COUNT	5
KE_TRIPMODE	4	emTRIPMODE_NONE	0
KE_TRIPMODE	4	emTRIPMODE_CLIENT	1
KE_TRIPMODE	4	emTRIPMODE_SERVER	2
KGLOG_OPTIONS	4	KGLOG_OPTION_FILE	1
KGLOG_OPTIONS	4	KGLOG_OPTION_CONSOLE	2
KGLOG_OPTIONS	4	KGLOG_OPTION_STDERR	4
KGLOG_PRIORITY	4	KGLOG_RESERVE0	0
KGLOG_PRIORITY	4	KGLOG_RESERVE1	1
KGLOG_PRIORITY	4	KGLOG_RESERVE2	2
KGLOG_PRIORITY	4	KGLOG_ERR	3
KGLOG_PRIORITY	4	KGLOG_WARNING	4
KGLOG_PRIORITY	4	KGLOG_RESERVE3	5
KGLOG_PRIORITY	4	KGLOG_INFO	6
KGLOG_PRIORITY	4	KGLOG_DEBUG	7
KGLOG_PRIORITY	4	KGLOG_PRIORITY_MAX	8
LOTTERY_PRIZE	4	prize_error	-1
LOTTERY_PRIZE	4	prize_none	0
LOTTERY_PRIZE	4	prize_1	1
LOTTERY_PRIZE	4	prize_2	2
LOTTERY_PRIZE	4	prize_3	3
LOTTERY_PRIZE	4	prize_4	4
LOTTERY_PRIZE	4	prize_5	5
LOTTERY_PRIZE	4	prize_6	6
LOTTERY_PRIZE	4	prize_7	7
LOTTERY_PRIZE	4	prize_8	8
LOTTERY_PRIZE	4	prize_9	9
LOTTERY_PRIZE	4	prize_10	10
LOTTERY_PRIZE	4	prize_max	11
LeagueProtocol	4	g2r_leagueapply_addmember	0
LeagueProtocol	4	g2r_leagueapply_removemember	1
LeagueProtocol	4	g2r_leagueapply_addleague	2
LeagueProtocol	4	g2r_leagueapply_removeleague	3
LeagueProtocol	4	g2r_leagueapply_settask_league	4
LeagueProtocol	4	g2r_leagueapply_settask_member	5
LeagueProtocol	4	g2r_leagueapply_appendtask_league	6
LeagueProtocol	4	g2r_leagueapply_appendtask_member	7
LeagueProtocol	4	g2r_leagueapply_doscript	8
LeagueProtocol	4	r2g_league_error	128
LeagueProtocol	4	r2g_league_update	129
LeagueProtocol	4	r2g_league_addmember	130
LeagueProtocol	4	r2g_league_removemember	131
LeagueProtocol	4	r2g_league_removeleague	132
LeagueProtocol	4	r2g_league_settask_league	133
LeagueProtocol	4	r2g_league_settask_member	134
MAGIC_SCRIPT_CASTTYPE	4	launcher_pos	0
MAGIC_SCRIPT_CASTTYPE	4	launcher_id	1
MAGIC_SCRIPT_CASTTYPE	4	target_pos	2
MAGIC_SCRIPT_CASTTYPE	4	target_id	3
MARK_FLAG	4	mark_none	0
MARK_FLAG	4	mark_inworld	1
MARK_FLAG	4	mark_dupe_free	1
MARK_FLAG	4	mark_dupe_limit	2
MOVE_OBJ_KIND	4	obj_npc	0
MOVE_OBJ_KIND	4	obj_object	1
MSGINFO_TYPE	4	msginfo_type_pickup_item	0
MSGINFO_TYPE	4	msginfo_type_end	1
MiniMapObjType	4	MMOT_DEST	0
MiniMapObjType	4	MMOT_TELLPOS	1
MiniMapObjType	4	MMOT_HIGHLIGHT	2
MiniMapObjType	4	MMOT_NUM	3
NPCATTRIB	4	attrib_mana	0
NPCATTRIB	4	attrib_stamina	1
NPCATTRIB	4	attrib_life	2
NPCATTRIB	4	attrib_maxmana	3
NPCATTRIB	4	attrib_maxstamina	4
NPCATTRIB	4	attrib_maxlife	5
NPCCAMP	4	camp_begin	0
NPCCAMP	4	camp_justice	1
NPCCAMP	4	camp_evil	2
NPCCAMP	4	camp_balance	3
NPCCAMP	4	camp_free	4
NPCCAMP	4	camp_animal	5
NPCCAMP	4	camp_event	6
NPCCAMP	4	camp_num	7
NPCCMD	4	do_none	0
NPCCMD	4	do_stand	1
NPCCMD	4	do_walk	2
NPCCMD	4	do_run	3
NPCCMD	4	do_jump	4
NPCCMD	4	do_skill	5
NPCCMD	4	do_magic	6
NPCCMD	4	do_attack	7
NPCCMD	4	do_sit	8
NPCCMD	4	do_hurt	9
NPCCMD	4	do_death	10
NPCCMD	4	do_defense	11
NPCCMD	4	do_idle	12
NPCCMD	4	do_specialskill	13
NPCCMD	4	do_special1	14
NPCCMD	4	do_special2	15
NPCCMD	4	do_special3	16
NPCCMD	4	do_special4	17
NPCCMD	4	do_runattack	18
NPCCMD	4	do_manyattack	19
NPCCMD	4	do_jumpattack	20
NPCCMD	4	do_revive	21
NPCCMD	4	do_stall	22
NPCCMD	4	do_movepos	23
NPCCMD	4	do_knockback	24
NPCKIND	4	kind_normal	0
NPCKIND	4	kind_player	1
NPCKIND	4	kind_partner	2
NPCKIND	4	kind_dialoger	3
NPCKIND	4	kind_bird	4
NPCKIND	4	kind_mouse	5
NPCKIND	4	kind_pet	6
NPCKIND	4	kind_num	7
NPCSEX	4	sex_male	0
NPCSEX	4	sex_female	1
NPC_RELATION	4	relation_none	1
NPC_RELATION	4	relation_self	2
NPC_RELATION	4	relation_ally	4
NPC_RELATION	4	relation_enemy	8
NPC_RELATION	4	relation_dialog	16
NPC_RELATION	4	relation_nonpc	32
NPC_RELATION	4	relation_hide	64
NPC_RELATION	4	relation_num	65
NPC_RELATION	4	relation_all	31
Obstacle_Kind	4	Obstacle_NULL	0
Obstacle_Kind	4	Obstacle_Normal	1
Obstacle_Kind	4	Obstacle_Fly	2
Obstacle_Kind	4	Obstacle_Jump	3
Obstacle_Kind	4	Obstacle_JumpFly	4
Obstacle_Kind	4	Obstacle_Kind_Num	5
PARTNER_SKILL_TYPE	4	partner_resist_skill	0
PARTNER_SKILL_TYPE	4	partner_given_skill	1
PARTNER_SKILL_TYPE	4	partner_learnt_skill	2
PARTNER_SKILL_TYPE	4	partner_ultimate_skill	3
PARTNER_SKILL_TYPE	4	partner_skill_type_num	4
PARTNER_TYPE	4	type_none	0
PARTNER_TYPE	4	type_fightnpc	1
PLATINA_ITEM_LEVEL	4	COUNT_PLATINA_LEVEL	11
PLATINA_ITEM_LEVEL	4	ADV_PLATINA_LEVEL	6
PLATINA_ITEM_LEVEL	4	MIN_PLATINA_LEVEL	0
PLATINA_ITEM_LEVEL	4	MAX_PLATINA_LEVEL	10
RecordLogType	4	recordlog_none	0
RecordLogType	4	recordlog_normal	1
RecordLogType	4	recordlog_money	2
RecordLogType	4	recordlog_pos	3
RecordLogType	4	recordlog_trade	4
RecordLogType	4	recordlog_data	5
RecordLogType	4	recordlog_all	6
SALE_BEHAVIOR	4	BUY	0
SALE_BEHAVIOR	4	SELL	1
STATE_TIME_TYPE	4	state_time_normal	0
STATE_TIME_TYPE	4	state_time_gametime	1
STATE_TIME_TYPE	4	state_time_truetime	2
STATE_TIME_TYPE	4	state_time_count	3
TIME_TYPE	4	title_time_normal	0
TIME_TYPE	4	title_time_gametime	1
TIME_TYPE	4	title_time_truetime	2
TIME_TYPE	4	title_time_count	3
TONG_LIST_SORT_TYPE	4	enum_tonglist_sortby_level	0
TONG_LIST_SORT_TYPE	4	enum_tonglist_sortby_membercount	1
TONG_LIST_SORT_TYPE	4	enum_tonglist_sortby_buildlevel	2
TONG_LIST_SORT_TYPE	4	enum_tonglist_sortby_union	3
TONG_LIST_SORT_TYPE	4	enum_tonglist_sortby_workshopcount	4
TONG_LIST_SORT_TYPE	4	enum_tonglist_sort_type_num	5
TONG_MEMBER_FIGURE	4	enumTONG_FIGURE_MASTER	0
TONG_MEMBER_FIGURE	4	enumTONG_FIGURE_DIRECTOR	1
TONG_MEMBER_FIGURE	4	enumTONG_FIGURE_MANAGER	2
TONG_MEMBER_FIGURE	4	enumTONG_FIGURE_MEMBER	3
TONG_MEMBER_FIGURE	4	enumTONG_FIGURE_RETIRE	4
TONG_MEMBER_FIGURE	4	enumTONG_FIGURE_NUM	5
TONG_MEMBER_SORT_TYPE	4	enum_memberlist_sortby_level	0
TONG_MEMBER_SORT_TYPE	4	enum_memberlist_sortby_dailyoffer	1
TONG_MEMBER_SORT_TYPE	4	enum_memberlist_sortby_weeklyoffer	2
TONG_MEMBER_SORT_TYPE	4	enum_memberlist_sortby_weekgoaloffer	3
TONG_MEMBER_SORT_TYPE	4	enum_memberlist_retire_only	4
TONG_MEMBER_SORT_TYPE	4	enum_memberlist_sortby_figure	5
TONG_MEMBER_SORT_TYPE	4	enum_memberlist_sortby_lastonline	6
TONG_MEMBER_SORT_TYPE	4	enum_memberlist_sort_type_num	7
TONG_UNION_SORT_TYPE	4	enum_unionlist_sortby_tongcount	0
TONG_UNION_SORT_TYPE	4	enum_unionlist_sort_type_num	1
TableType	4	TABLE_TYPE_CONDITION	0
TableType	4	TABLE_TYPE_ENTITY	1
TableType	4	TABLE_TYPE_AWARD	2
TableType	4	TABLE_TYPE_TALK	3
TableType	4	TABLE_TYPE_COUNT	4
TongExProtocol	4	tp_executor_action_begin	0
TongExProtocol	4	tp_executor_action_tong_begin	0
TongExProtocol	4	tp_tong_upgrade	1
TongExProtocol	4	tp_tong_degrade	2
TongExProtocol	4	tp_tong_changecamp	3
TongExProtocol	4	tp_tong_moneyfund2buildfund	4
TongExProtocol	4	tp_tong_buildfund2warfund	5
TongExProtocol	4	tp_tong_setannouncement	6
TongExProtocol	4	tp_tong_claimwar	7
