struct	size
AUCTION_RETURNMONEY_R2G	10
AUCTION_SCRIPTASK_G2R	38
AUCTION_SUBMITITEMALLOWED_R2G	18
AUCTION_SUBMITITEM_C2S	20
AUCTION_SUBMITITEM_REQUEST_G2R	54
AUCTION_SUBMIT_ITEM_G2R	106
AUCTION_TRADERESULT_G2R	43
AUCTION_TRADE_R2G	86
AccountCmp	1
Action	136
AuctionItemInfo	76
AuctionLadderItemInfo	140
BATTLE_NEW_ROUND_R2G	718
BATTLE_RELAYHEADER_G2R	2
BATTLE_RELAYHEADER_R2G	2
BATTLE_ROUND_RESULT_G2R	12
BOX_INFO_SYNC	5
BOX_OPERATE_COMMAND	14
BULLETIN_CONTENT_DATA	807
BULLETIN_CONTENT_QUERY	17
BULLETIN_SUMMARY_DATA	965
BinSTree<KItemDropRateNode>	12
Bonus	12
Breaklabel	12
BuySellInfo	2012
C2S_ACCEPT_TEAM_MEMBER	8
C2S_ADD_TAG	65
C2S_APPLY_ADD_TEAM	8
C2S_APPLY_CREATE_TEAM	8
C2S_APPLY_LEAVE_TEAM	8
C2S_APPLY_TEAM_INFO	8
C2S_APPLY_TEAM_OPEN_CLOSE	8
C2S_DEL_TAG	5
C2S_GET_TAGS_REQUEST	33
C2S_SET_FRIEND_PUBLISH_FLAG	2
C2S_SYNCEND	9
C2S_TEAM_CHANGE_CAPTAIN	8
C2S_TEAM_DISMISS	8
C2S_TEAM_INVITE_ADD	8
C2S_TEAM_KICK_MEMBER	8
C2S_TEAM_REPLY_INVITE	9
C2S_TONG_CHECK_APPLYER_STATE_RESPOND	83
CChatConnection	676
CChatFriend	56
CChatFriendTeam	48
CChatRoom	80
CChatRoomEvent	4
CChatRoomPlayerMsgProcess	100
CChatRoomRelayMsgProcess	144
CChatRooms	68
CClientConnection	676
CClientPingConnection	692
CDatabaseConnection	676
CEquipTable<KBPT_Equip_Platina,4>	12
CEquipTable<KBPT_Equipment_Gold,1>	12
CGatewayConnection	676
CHATROOM_C2S_GETMEMBERLIST	36
CHATROOM_C2S_HEAD	4
CHATROOM_C2S_MEMBER	68
CHATROOM_C2S_PASSWORD	52
CHATROOM_C2S_ROOM	36
CHATROOM_C2S_TALK	38
CHATROOM_HEAD	2
CHATROOM_MEMBER	37
CHATROOM_R2S_MEMBER	67
CHATROOM_R2S_SYNCBLACKLIST	66
CHATROOM_RBC_CREATEROOM	87
CHATROOM_RBC_DESTROYROOM	34
CHATROOM_RBC_ENTERROOM	71
CHATROOM_RBC_MEMBER	66
CHATROOM_RBC_PASSWORD	50
CHATROOM_RBC_ROOMTIME	38
CHATROOM_RBC_TALK	68
CHATROOM_ROOMINFO	72
CHATROOM_S2C_HEAD	4
CHATROOM_S2C_KICKEDOUT	36
CHATROOM_S2C_MEMBERLIST	43
CHATROOM_S2C_ROOM	37
CHATROOM_S2C_ROOMLIST	10
CHATROOM_S2R_CLOSEROOM	34
CHATROOM_S2R_CREATE	86
CHATROOM_S2R_ENTERROOM	87
CHATROOM_S2R_M2M	98
CHATROOM_S2R_MEMBER	66
CHATROOM_S2R_PASSWORD	82
CHATROOM_S2R_ROOMTIME	70
CHATROOM_S2R_TALK	68
CHATROOM_SBC_CLOSEROOM	36
CHATROOM_SBC_ENTERROOM	73
CHATROOM_SBC_LIFETIMECHANGE	40
CHATROOM_SBC_MEMBER	68
CHAT_ADD_FRIEND_COMMAND	5
CHAT_ADD_FRIEND_FAIL_SYNC	5
CHAT_ADD_FRIEND_SYNC	41
CHAT_APPLY_ADD_FRIEND_COMMAND	263
CHAT_APPLY_ADD_FRIEND_SYNC	293
CHAT_APPLY_SEND_ONE_FRIEND_NAME_COMMAND	5
CHAT_CHANNELCHAT_CMD	15
CHAT_CHANNELCHAT_HEAD	1
CHAT_CHANNELCHAT_SYNC	44
CHAT_DELETE_FRIEND_COMMAND	5
CHAT_DELETE_FRIEND_SYNC	5
CHAT_DYNCHANNEL_FINIMSG	4
CHAT_DYNCHANNEL_HEAD	2
CHAT_DYNCHANNEL_RECVMSG	6
CHAT_DYNCHANNEL_SENDMSG	38
CHAT_DYNCHANNEL_SYNCMSG	266
CHAT_EVERYONE	5
CHAT_FRIEND_OFFLINE_SYNC	5
CHAT_FRIEND_ONLINE_SYNC	9
CHAT_GROUPMAN	9
CHAT_LOCAL_CHANNEL	13
CHAT_LOGIN_FRIEND_NAME_SYNC	43
CHAT_LOGIN_FRIEND_NONAME_SYNC	9
CHAT_MSG_EX	68
CHAT_NPCCHAT	7
CHAT_ONE_FRIEND_DATA_SYNC	41
CHAT_REDELETE_FRIEND_COMMAND	5
CHAT_REFUSE_FRIEND_COMMAND	5
CHAT_REFUSE_FRIEND_SYNC	35
CHAT_RELEGATE	22
CHAT_SCREENSINGLE_ERROR_SYNC	36
CHAT_SET_CHANNEL_COMMAND	5
CHAT_SOMEONECHAT_CMD	40
CHAT_SPECMAN	13
CHAT_TEST_MSG	11
CHAT_TRANSMIT	11
CITYSUMMARY	114
CITYWAR_ARENARESULT_G2R	43
CITYWAR_COMMONINPUT	77
CITYWAR_COMMONINPUTNUMBER	8
CITYWAR_COMMONINPUTSTRING	6
CITYWAR_MSG2PLAYER_R2G	8
CITYWAR_OPENCITYMANAGE_S2C	16
CITYWAR_PROTOCOLHEADER	4
CITYWAR_RELAYHEADER_G2R	2
CITYWAR_RELAYHEADER_R2G	2
CITYWAR_REPLYBULLETIN_R2G	8
CITYWAR_SCRIPTQUERYBULLETIN_G2R	34
CITYWAR_SIGNUP_G2R	74
CITYWAR_SUBMITCITYTAXRATES_C2S	16
CITYWAR_SUBMITCITYTAXRATES_G2R	78
CITYWAR_TAXRATES	8
CITYWAR_TONGACTION_G2R	39
CITYWAR_TONGINFOSYNC_R2G	70
CITYWAR_WARRESULT_G2R	7
CITY_OWNER_QUERY	4
CLEAR_TONG_CLAIMWAR_SYNC	4
CRegCompiler	20
CRegCompilerBase	16
CRegErrorHandler	4
CRegExecutor	24
CRegProgramAccessor	4
CRegValidator	24
CRoleNameChangeHistory	112
CSpectatorMap	5080
CString	4
CTaskList	12
CTextFilter	3096
CTongConnection	692
CTongTax	356
CTranConnection	676
CURPLAYER_NORMAL_SYNC	14
CURPLAYER_SYNC	68
CallInfo	20
CallS	8
Capture	264
ClientValidCode	12
Closure	28
Connection	8
Constdesc	8
DISMISS_RELATION	98
DOING_FRAME	8
EXTEND_HEADER	2
EXTEND_PASSTOBEVY	6
EXTEND_PASSTOSOMEONE	12
FIGHT_PARTNER_SIMPLE_INFO_1	9
FIGHT_PARTNER_SIMPLE_INFO_2	10
FIGHT_PARTNER_SIMPLE_INFO_4	12
FIGHT_PARTNER_SKILL_SYNC	15
FIGHT_PARTNER_SYNC_ALL	105
FIGHT_PARTNER_SYNC_MIN	12
FILE	148
FILETIME	8
FOUNDRY_CLIENTSEND	204
FOUNDRY_RESULT	7
FRIEND_ASSOCIATE	3
FRIEND_ASSOCIATEBEVY	2
FRIEND_STATE	3
FuncState	1228
GCState	8
GIVE_SOMETHING	30
GM_EXECUTE_COMMAND	38
GM_GET_PLAYER_AT_GW_SYNC	78
GPI_VIEW_ROLLING_ITEM	71
GSTongInfo	36
GUID	16
GameStatus	48
GiveItemPos	5
Hash	24
ICallBack	4
IChatRoomEvent	4
ICoder	4
ICurrency	4
IEnchaser	4
IEqupTable	4
IGameServer	4
IItemEnv	4
IKLock	4
IKMemFileNotify	4
ILeagueDatabase	4
INSERTRET	8
IOCtrl	16
IRoleValEvaluator	4
IServerCore	4
ISkill	4
ITEMPARAM	36
ITEM_AUTO_MOVE_SYNC	7
ITEM_BIND_SYNC	9
ITEM_COUNT_SYNC	9
ITEM_DURABILITY_CHANGE	13
ITEM_MASK	16
ITEM_REMOVE_SYNC	5
ITEM_REPAIR	9
ITEM_SYNC	80
ITextFilter	4
ITimer	4
ITimerList	4
ITongDataSender	4
Init	1
Item	8
ItemOption	12
KACCOUNT_INFO2	84
KACCOUNT_LIMITTIME_INFO	12
KActionScriptState	6408
KActiveMagicAttr	20
KActor	28
KAlloctorT<KTongData>	4
KAlloctorT<KTongMember>	4
KAlloctorT<KTongWorkshop>	4
KAntiBotMan	112
KAntiBotSignCodeMan	88
KAtlasEnchaser	4
KAuctionProcess	52
KAutoThreadLock	4
KBASICPROP_BASEDATA	164
KBASICPROP_BASEDATA_TOOL	164
KBASICPROP_BROKEN_EQUIP	148
KBASICPROP_EQUIPMENT	296
KBASICPROP_EQUIPMENT_GOLD	340
KBASICPROP_EQUIPMENT_GOLD_TOOL	324
KBASICPROP_EQUIPMENT_TOOL	296
KBASICPROP_EQUIP_EXT_SUITE	316
KBASICPROP_EQUIP_PLATINA	372
KBASICPROP_EQUIP_PLATINA_TOOL	356
KBASICPROP_EQUIP_SUITE	300
KBASICPROP_EQUIP_SUITE_TOOL	300
KBASICPROP_MAGICORSCRIPT	188
KBASICPROP_MEDICINE	188
KBASICPROP_MEDMATERIAL	188
KBASICPROP_MINE	164
KBPT_BrokenEquip	276
KBPT_ClassMAIT	12
KBPT_ClassMAIT_Tool	12
KBPT_ClassifiedMAT	12
KBPT_Equip_Platina	276
KBPT_Equip_Platina_Tool	276
KBPT_Equipment	276
KBPT_Equipment_Gold	276
KBPT_Equipment_Gold_Tool	276
KBPT_ExtSuite_ActivateCount	48
KBPT_GoldEqMagicAttrib_TF	372
KBPT_GoldEqMagicAttrib_TF_Tool	372
KBPT_MagicAttribLevelInfo	372
KBPT_MagicAttribLevelInfo_Tool	372
KBPT_MagicAttrib_TF	372
KBPT_MagicAttrib_TF_Tool	372
KBPT_MagicOrScript	276
KBPT_MedMaterial	276
KBPT_Medicine	276
KBPT_Mine	276
KBPT_Quest	276
KBPT_Suite_ActivateCount	24
KBPT_Suite_Equipment	276
KBPT_TownPortal	276
KBUFFER	12
KBUYINF	32
KBasicPropertyTable	276
KBasicPropertyTable_Tool	276
KBesetMap	2
KBigPackageSender<_KSenderImpl,TSyncFiles_ToClient_Header>	44
KBishopProcess	28
KBufAllocator	96
KBulletin	1052
KBuySell	628
KC2S_TONG_ACCEPT_OR_REFUSE	76
KC2S_TONG_ADD_TO_APPLY_LIST	48
KC2S_TONG_GET_APPLY_LIST	11
KC2S_TONG_SAVE_ZHAOMU_INFO	141
KCITYINFO	115
KCONNECTION	24
KChannelAlias	24
KChannelProtocol	4
KCharsetTable	32
KChatChannel	28
KChatChannels	28
KChatProcess	8
KCityWarDataCore	1852
KCityWarDataGS	1876
KCityWarProcess	1
KClientProcess	12
KCodec	4
KCodecLzo	12
KCoder2	4
KColorTable	11
KCombinFileSection	8
KCommonPartTaskValue	80
KCompoundPart	20
KControlTable	44
KCoreConnectInfo	4
KCtrlTable	12
KCurrency	1
KCurrencyManager	2436
KCurrency_T<CURRENCYTYPE_ARENA_CREDITS>	4
KCurrency_T<CURRENCYTYPE_COIN>	4
KCurrency_T<CURRENCYTYPE_CONTRIBUTION>	4
KCurrency_T<CURRENCYTYPE_ENERGY>	4
KCurrency_T<CURRENCYTYPE_FUYUAN>	4
KCurrency_T<CURRENCYTYPE_GOLDCOIN>	4
KCurrency_T<CURRENCYTYPE_GOLDCOIN_NEW>	4
KCurrency_T<CURRENCYTYPE_GOLDCOIN_SCORE>	4
KCurrency_T<CURRENCYTYPE_HONOUR>	4
KCurrency_T<CURRENCYTYPE_MONEY>	4
KCurrency_T<CURRENCYTYPE_REFINING>	4
KCurrency_T<CURRENCYTYPE_RESPECT>	4
KCurrency_T<CURRENCYTYPE_SCORE>	4
KDBItemData_AutoPtr	16
KDWordSetDataClass	52
KDataBaseClass	28
KDataMapDataClass<KTongData>	56
KDataMapDataClass<KTongMember>	56
KDataMapDataClass<KTongUnion>	56
KDataMapDataClass<KTongWorkshop>	56
KDataRow_SDD	12
KDataTableManager	1
KDataTable_SDD	16
KDepack	65576
KDiceBase	56
KDiceGame	104
KDiceManage	52
KDiceNormal	172
KDll	4
KDopack	65560
KDungeonMap	56
KDungeonMapManager	24
KDupedItemBase<KItem>	28
KDupedItemDeal	28
KDupedItemSetting	100
KEMPIRE_DATA	94
KEMPIRE_HISTORY	98
KEMPIRE_INFO	130
KEXCHANGING	40
KEYNODE	16
KEmpire	292
KEnchaserSet	1
KEnpack	24
KEnumChatChannel	12
KEnumChatClient	12
KEnumObj<KChatChannel*>	12
KEnumObj<TChatClient>	12
KEnumObj<short unsigned int>	12
KEnumWord	12
KEquipPropTblIdx	8
KFaction	2040
KFightPartner	432
KFile	16
KFileLib<KIniFile>	24
KFileLib<KTabFile>	24
KFileSyncCenterGS	21
KFileSyncToolGS	12
KFineryEnchaser	4
KForbitItem	96
KForbitItemBase<KItem,KIniFile,8>	96
KForbitProp	12
KFoundryTollgate	24
KGLOG_PARAM	8200
KG_CpuTicker<KSG_LogFile>	16
KGlobalMissionArray	1507348
KGlobalValue	2744
KGoddessProcess	24
KGoods	900
KGottaAttr	20
KHeavenLib	12
KHostProcess	140
KILLER_CANCELTASK	8
KILLER_CANCELTASK_G2R	38
KILLER_CANCELTASK_R2G	10
KILLER_CREATETASK	74
KILLER_CREATETASK_FAILED	10
KILLER_GETMONEY	6
KILLER_NOTIFY	5
KILLER_PK	66
KILLER_PROTOCOLHEADER	4
KILLER_QUERYKILLEE	46
KILLER_QUERYKILLEE_RESULT0	50
KILLER_QUERYKILLEE_RESULT1	87
KILLER_QUERYRESULT_S2C	57
KILLER_QUERYTASK_G2R	38
KILLER_QUERYWISEMAN	42
KILLER_QUERYWISEMAN_C2S	36
KILLER_REPLYSCRIPT	24
KILLER_SCRIPTASK	34
KILLER_SUBMITTASK	44
KILLER_TAKETASK	8
KILLER_TAKETASK_G2R	38
KINFO	8
KITEM	12
KITEM_ATTRIBUTE	452
KITEM_CONSUME	8
KITabFile	4
KIncidentalValue	4
KIndexNode	24
KIniFile	88
KInlineControl	268
KInlineCtrlTool	44
KIntranet	1
KInventory	28
KItem	632
KItemChangeRes	208
KItemCompounder	4
KItemDropRate	64
KItemDropRateNode	204
KItemDropRateTree	12
KItemEnchaser	8
KItemEnvAuction<7>	1032
KItemEnvAuction<9>	1032
KItemEnvBuySell	1036
KItemEnvCustom	1036
KItemEnvPlayer	1032
KItemGenerator	22316
KItemID	24
KItemInfo	152
KItemList	20000
KItemParam	68
KItemSet	3308
KItemValuator	304
KItemValueInfo	416
KItemValueSetting	76
KKEY	8
KKillerTask	148
KLARGEPACK_HEAD	6
KLENPROTOCOL	3
KLEX	8
KLadder	17636
KLeagueAcceptEvent<KLeagueManager>	1
KLeagueAgentT<KLeagueMemberInfoEx,KLeagueDataSender<KLeagueMemberInfoEx, KLeagueSendDataToRelay>,KLeagueObjAllocator<KLeagueMemberInfoEx> >	132
KLeagueDataAccepter<KLeagueManager,KLeagueAcceptEvent<KLeagueManager>,KLeagueScriptRunner>	12
KLeagueDataSender<KLeagueMemberInfoEx,KLeagueSendDataToRelay>	100
KLeagueDataSender<KOneLeagueInfo,KLeagueSendDataToRelay>	100
KLeagueManager	28
KLeagueManagerAgent	308
KLeagueManagerAgentT<KOneLeagueInfo,KLeagueDataSender<KOneLeagueInfo, KLeagueSendDataToRelay>,KLeagueObjAllocator<KOneLeagueInfo> >	308
KLeagueMemberInfo	56
KLeagueMemberInfoEx	64
KLeagueObjAllocator<KLeagueMemberInfoEx>	32
KLeagueObjAllocator<KOneLeagueInfo>	32
KLeagueScriptRunner	1
KLeagueSendDataToRelay	1
KLeagueTaskData	48
KLevelAdd	9900
KLibFuncs	8
KLibFuncsManager	1
KLibOfBPT	22224
KLibOfBPT_Tool	16068
KLinkArray	12
KLinkArrayTemplate<KMission,10u>	296036
KLinkArrayTemplate<KMission,50u>	1480036
KLinkArrayTemplate<KMsgInfo::TMsgInfo,200u>	42436
KLinkArrayTemplate<KPlayerPartner,3u>	144
KLinkArrayTemplate<KTimerTaskFun,3u>	96
KLinkArrayTemplate<TMissionPlayerInfo,1200u>	28836
KLinkNode	8
KList	12
KListSet	16
KLottery	916
KLotteryCenter	72
KLotteryInfo	12
KLotteryInfo_RandID	16
KLotteryManager	344
KLotteryQuestion	1052
KLottery_RandID	3580
KLuaCall	12
KLuaScript	308
KLuaScriptSet	316
KLuaString	24
KMAGICATTR_SCALE	8
KMAXDURABILITY	8
KMagicAttrib	16
KMagicAttribInfo	48
KMagicDesc	344
KMagicGenerator	16068
KMagicValue	60
KMapPos	24
KMemClass	8
KMemFile	12
KMemFileManager	60
KMemFileNotifyHelper	12
KMemList	12
KMemStack	56
KMemberAlloctor	8
KMission	29600
KMissionArray<KMission,10u>	323348
KMissionArray<KMission,50u>	1507348
KMissionPlayerArray	28836
KMissionTimerArray	356
KMissle	384
KMissleDataStruct	352
KMissleMagicAttribsData	8
KMissleMagicAttribsLink	668
KMissleSet	24
KModuleCfgCenterGS	40
KModuleConfig<KTimerTool>	24
KMsgInfo	84956
KMutex	24
KNameFilter	8
KNewPlayerAttribute	100
KNewProtocolProcess	88
KNode	16
KNpc	6436
KNpcAI	8
KNpcAttribModify	2068
KNpcChatTimer	272
KNpcDeathCalcExp	40
KNpcDiceItem	204
KNpcFeature	40
KNpcFileHead	12
KNpcFindPath	32
KNpcGold	300
KNpcGoldTemplate	5164
KNpcGoldTemplateInfo	172
KNpcSet	8400
KNpcTemplate	4412
KObj	280
KObjAllocator<KBufAllocator::_KHugeBufObj>	32
KObjAllocator<KBufAllocator::_KLargeBufObj>	32
KObjAllocator<KBufAllocator::_KSmallBufObj>	32
KObjAllocator<KFightPartner>	32
KObjAllocator<KLeagueMemberInfoEx>	32
KObjAllocator<KOneLeagueInfo>	32
KObjBuffer	16
KObjBufferList	48
KObjFileHead	12
KObjPool_T<KNpcChatTimer>	20
KObjPool_T<KObjBuffer>	20
KObjPool_T<KProgressBarTimer>	20
KObjPool_T<KScriptTimer>	20
KObjSet	700
KObserver	4
KOfflineActions	16
KOfflineConnections	48
KOneAutoCastSkill	36
KOneLeagueInfo	84
KPARTITEM	8
KPLATINA_MAGICRATE_KEY	8
KPLATINA_MAGICRATE_VAL	12
KPLAYER_LIMITTIME_SYNC	13
KPOS	2
KPROTOCS_NW_INSTATE	38
KPROTOCS_NW_KICKOUT	8
KPROTOGR_DOSCRIPT	17
KPROTOGR_NW_ENTHRONE	68
KPROTOGR_NW_POSITIONCHANGE	40
KPROTOGR_NW_REMARKEMPEROR	6
KPROTOGR_NW_SETNATIONTITLE	34
KPROTOGR_NW_SETTASK	10
KPROTORG_NW_AWARDEMPEROR	6
KPROTORG_NW_CONGRATULATION	60
KPROTORG_NW_FORBIDCHAT	38
KPROTORG_NW_LEVY	10
KPROTORG_NW_LEVYAMOUNT	6
KPROTORG_NW_POSITIONCHANGE	40
KPROTORG_NW_SYNCEMPEROR	132
KPROTORG_NW_SYNCHISTORY	100
KPROTORG_NW_SYNCNATIONTITLE	34
KPROTORG_NW_SYNCREMARK	10
KPROTORG_NW_SYNCSEALOWNER	34
KPROTORG_NW_SYNCTASK	4
KPROTORG_NW_TITLEUPDATE	38
KPROTORG_SCRIPTRESULT	15
KPROTOSC_NW_POSITON	9
KPROTOSC_NW_SYNCEMPEROR	41
KPROTOSC_NW_SYNCNATIONTITLE	36
KPROTO_DUNGEONMAP	23
KPROTO_GS2R_SYNCEND	34
KPROTO_S2C_TMPCAMP	9
KPROTO_SCRIPTPROTOCOL	7
KPROTO_SYNCBALANCE	6
KPROTO_SYNCRESIST	102
KPROTO_TRIPSERVER	32
KPackBuffer	16
KPakFile	56
KPartner	12
KPartnerArray	144
KPartnerDialog	1616
KPartnerSetting	1
KPet	56
KPetData	48
KPlatinaDurability	24
KPlatinaScrollInfo	28
KPlayer	165956
KPlayerChat	116
KPlayerEvent	16
KPlayerEventMan	48
KPlayerFaction	16
KPlayerLimitTime	44
KPlayerMenuState	528
KPlayerMenuStateGraph	560
KPlayerPK	64
KPlayerPartner	36
KPlayerPartnerCtrl	36
KPlayerSet	11348
KPlayerStall	16
KPlayerTask	1380
KPlayerTeam	56
KPlayerTitle	132
KPlayerTong	1272
KPolygon	68
KPrizeLotteryInfoMatrix<KLottery_RandID::KLotteryInfo_RandID>	24
KProgressBarList	24
KProgressBarTimer	580
KProtocolProcess	2176
KQuestion	64
KREFUSE_APPLY_JOIN_TONG	66
KREQUEST_TONG_ZHAOMU_APPLY_JOIN	8
KREQUEST_TONG_ZHAOMU_PAGE_REQUEST	8
KREQUEST_TONG_ZHAOMU_REQUEST	8
KRESIST_ATTR	100
KRET_APPLYINFO	34
KROLEVALUE	32
KRainbowLib	12
KRareMagicValue	128
KRecvPack	16
KRegion	3268
KRegionSearcher	48
KResStringTable	608
KRoleRenameCmd	12
KRoleValEvaluator	20640
KSAVE_TONG_ZHAOMU_REQUEST	143
KSG_ExtPoint	16
KSG_IBItemHelper	568
KSG_LogFile	564
KSOServer	3532
KSPNpc	188
KSPObj	152
KSPTrap	8
KSTAT_DATA_MODIFY	12
KSUBPROTO	4
KSUITE_EQUIPMENT	784
KSYNC_ID_ZHAOMU_APPLY_INFO	6
KSYNC_TONG_APPLY_INFO	14
KSYNC_TONG_ZHAOMU_INFO	141
KSYNC_TONG_ZHAOMU_PAGE_TO_CLIENT	721
KSYNC_TONG_ZHAOMU_TO_CLIENT	143
KSaveAction	12
KScript	4
KScriptEnchaser	60
KScriptGuard	8
KScriptTimer	276
KSendPack	40
KSerializingLoad<long unsigned int,<unnamed>::mget_load<long unsigned int> >	8
KSerializingSave<long unsigned int,<unnamed>::mcpy_store<long unsigned int> >	4
KServerCore	65628
KServerTime	16
KSimpleBuffer	8
KSimpleSync	1
KSimpleThread	12
KSkill	1692
KSkillAdditionData	72
KSkillAutoCast	36
KSkillLevelIncNode	24
KSkillList	3896
KSkillManager	4152040
KSort4MapDataClass<KTongDataList,KTongData,KTongListPageData,25ul,180ul>	36
KSort4MapDataClass<KTongSort4MemberAll<-0x000000001>,KTongMember,KTongMemberPageData,25ul,180ul>	36
KSort4MapDataClass<KTongSort4MemberAll<4>,KTongMember,KTongMemberPageData,25ul,180ul>	36
KSort4MapDataClass<KTongSort4MemberOnline<-0x000000001>,KTongMember,KTongMemberPageData,25ul,180ul>	36
KSort4MapDataClass<KTongSort4MemberOnline<4>,KTongMember,KTongMemberPageData,25ul,180ul>	36
KSort4MapDataClass<KUnionList,KTongUnion,KTongUnionPageData,25ul,180ul>	36
KSpectatorMsgProcess	1
KStatData	16
KStatDataServer	60
KState	16
KStateNode	368
KStoneEnchaser	4
KStoneLikes	1
KStructDataClass<KTongData::tagKPrivateData>	1184
KStructDataClass<KTongMember::tagKPrivateData>	92
KStructDataClass<KTongMemberList<0>::tagKPrivateData>	32
KStructDataClass<KTongMemberList<1>::tagKPrivateData>	32
KStructDataClass<KTongUnion::tagKPrivateData>	60
KStructDataClass<KTongWorkshopList::tagKPrivateData>	32
KSubWorld	409544
KSubWorldMissionArray	323348
KSubWorldSet	32680
KSwitch	24
KSyncFileHelper	1
KSyncHelper_File	1
KSyncHelper_FileList	8
KTEXTRENDERRULE	8
KTONGWAR	8
KTP_CTRL	6
KTRAN_UNIT	12
KTRAP	8
KTRIPCPROTO_GS2R_APPLY	365
KTRIPCPROTO_GS2R_DIFFRES	37
KTRIPCPROTO_GS2R_KICKOUT	33
KTRIPCPROTO_GS2R_LOGIN	37
KTRIPCPROTO_R2GS_NOTIFY	61
KTRIPCPROTO_R2GS_ROLEDIFF	214
KTRIPCPROTO_R2GS_SERVERINFO	33
KTRIPCPROTO_R2GS_SERVERLIST	2
KTRIPCPROTO_R2GS_TASKMAP	81
KTRIPDATA_DIFF	177
KTRIPDATA_EXP	16
KTRIPDATA_ITEM	76
KTRIPDATA_LOGINGS	22
KTRIPDATA_ROLE	328
KTRIPDATA_SKILL	8
KTRIPPROTO_HEAD	1
KTRIPPROTO_SESSION	17
KTRIPSPROTO_B2GS_ROLEDATA	89
KTRIPSPROTO_GS2C_NOTIFYRETURN	137
KTRIPSPROTO_GS2R_DIFF	210
KTRIPSPROTO_GS2R_KICKFAIL	65
KTRIPSPROTO_R2GS_KICKOUT	81
KTRIPSPROTO_R2GS_TASKMAP	81
KTRIPSROTO_R2GS_RETURN	173
KTabFile	32
KTabFileCtrl	1040
KTaskFun	4
KTaskKeyMap	96
KTaskRowSet	16
KTaskSetting	48
KTaskSettings	14524
KTaskTable	28
KTaskTimer	24
KTaskTimerList	288
KTaskTypeMap	52
KTaskValueSynctorBase	4
KTaskValueSynctorSvr_Member	4
KTaskValueSynctorSvr_Tong	4
KTaskValueSynctorSvr_Workshop	4
KTaskValues	32
KTaxRateList	32
KTeam	48
KTeamLeadExp	800
KTeamSet	100
KTextRender	8
KThiefSkill	1824
KThreadLock	28
KTicketInfo	72
KTimerFunArray<KTimerTaskFun,3u,g_MissionTimerCallBackFun>	356
KTimerList	128
KTimerTaskFun	20
KTimerTool	1
KTmpTaskValue<int,256>	1024
KTmpTaskValueEx	24
KTongBaseData	14
KTongData	3640
KTongDataAlloc	4
KTongDataList	388
KTongDataSenderBase	4
KTongDataSenderT<TongExProtocolGC>	104
KTongDataSenderT<TongExProtocolRG>	104
KTongInfo	185
KTongInfoEx	239
KTongListPageData	360
KTongLog	1136
KTongLogic	32
KTongLogic_GameSvr_Apply	32
KTongLogic_GameSvr_Result	32
KTongManagerAgent	620
