struct	size	header
PLAYER_PICKUP_ITEM_COMMAND	8	KProtocol.h
ITEM_SYNC	191	KProtocol.h
ITEM_SYNC_MAGIC	197	KProtocol.h
ITEM_REMOVE_SYNC	5	KProtocol.h
PLAYER_SELL_ITEM_COMMAND	6	KProtocol.h
PLAYER_BUY_ITEM_COMMAND	7	KProtocol.h
PLAYER_MONEY_SYNC	13	KProtocol.h
PLAYER_MOVE_ITEM_COMMAND	7	KProtocol.h
PLAYER_MOVE_ITEM_SYNC	7	KProtocol.h
ITEM_AUTO_MOVE_SYNC	7	KProtocol.h
PLAYER_THROW_AWAY_ITEM_COMMAND	1	KProtocol.h
CURPLAYER_NORMAL_SYNC	16	KProtocol.h
CURPLAYER_SYNC	88	KProtocol.h
PLAYER_SCRIPTACTION_SYNC	2340	KProtocol.h
SKILL_SEND_ALL_SYNC_DATA	7	KProtocol.h
SKILL_SEND_ALL_SYNC	563	KProtocol.h
SYNC_WEATHER	2	KProtocol.h
WORLD_SYNC	14	KProtocol.h
PLAYER_SELECTUI_COMMAND	9	KProtocol.h
VIEW_EQUIP_COMMAND	5	KProtocol.h
PLAYER_TRADE_VIEW_COMMAND	5	KProtocol.h
KSG_PASSWORD	64	KProtocol.h
RoleBaseInfo	42	KProtocol.h
ROLE_LIST_SYNC	127	KProtocol.h
LOGOUT_COMMAND	2	KProtocol.h
LOGIN_COMMAND	33	KProtocol.h
TRADE_APPLY_OPEN_COMMAND	259	KProtocol.h
TRADE_APPLY_CLOSE_COMMAND	1	KProtocol.h
TRADE_CHANGE_STATE_SYNC	10	KProtocol.h
NPC_SET_MENU_STATE_SYNC	264	KProtocol.h
TRADE_APPLY_START_COMMAND	9	KProtocol.h
TRADE_APPLY_START_SYNC	13	KProtocol.h
TRADE_REPLY_START_COMMAND	10	KProtocol.h
TRADE_MOVE_MONEY_COMMAND	5	KProtocol.h
TRADE_MONEY_SYNC	5	KProtocol.h
TRADE_DECISION_COMMAND	3	KProtocol.h
TRADE_DECISION_SYNC	2	KProtocol.h
STORE_MONEY_COMMAND	6	KProtocol.h
TEAM_INVITE_ADD_COMMAND	5	KProtocol.h
TEAM_INVITE_ADD_SYNC	39	KProtocol.h
SKILL_CHANGEAURASKILL_COMMAND	5	KProtocol.h
TEAM_REPLY_INVITE_COMMAND	6	KProtocol.h
TRADE_STATE_SYNC	13	KProtocol.h
STATE_EFFECT_SYNC	307	KProtocol.h
IGNORE_STATE_SYNC	5	KProtocol.h
PING_COMMAND	5	KProtocol.h
PING_CLIENTREPLY_COMMAND	9	KProtocol.h
NPC_SIT_COMMAND	2	KProtocol.h
NPC_HORSE_COMMAND	1	KProtocol.h
NPC_HORSE_SYNC	9	KProtocol.h
OBJ_MOUSE_CLICK_SYNC	9	KProtocol.h
SHOW_MSG_SYNC	9	KProtocol.h
PK_APPLY_NORMAL_FLAG_COMMAND	2	KProtocol.h
PK_NORMAL_FLAG_SYNC	2	KProtocol.h
PK_APPLY_ENMITY_COMMAND	13	KProtocol.h
PK_ENMITY_STATE_SYNC	48	KProtocol.h
PK_EXERCISE_STATE_SYNC	40	KProtocol.h
PK_VALUE_SYNC	5	KProtocol.h
SViewItemInfo	87	KProtocol.h
VIEW_EQUIP_SYNC	1485	KProtocol.h
TRoleList	25	KProtocol.h
TGAME_STAT_DATA	9144	KProtocol.h
NPC_SLEEP_SYNC	6	KProtocol.h
LADDER_DATA	255	KProtocol.h
LADDER_LIST	7	KProtocol.h
LADDER_QUERY	5	KProtocol.h
CHAT_SOMEONECHAT_CMD	296	KProtocol.h
CHAT_CHANNELCHAT_CMD	271	KProtocol.h
CHAT_CHANNELCHAT_SYNC	301	KProtocol.h
CHAT_FEEDBACK	263	KProtocol.h
CHAT_EVERYONE	5	KProtocol.h
CHAT_GROUPMAN	8	KProtocol.h
CHAT_SPECMAN	13	KProtocol.h
CHAT_RELEGATE	22	KProtocol.h
S2C_TONG_HEAD	4	KProtocol.h
STONG_PROTOCOL_HEAD	4	KProtocol.h
STONG_SERVER_TO_CORE_APPLY_CREATE	40	KProtocol.h
STONG_SERVER_TO_CORE_APPLY_ADD	8	KProtocol.h
STONG_SERVER_TO_CORE_CHECK_ADD_CONDITION	12	KProtocol.h
STONG_SERVER_TO_CORE_CREATE_SUCCESS	44	KProtocol.h
STONG_SERVER_TO_CORE_REFUSE_ADD	12	KProtocol.h
STONG_SERVER_TO_CORE_GET_INFO	52	KProtocol.h
STONG_SERVER_TO_CORE_ADD_SUCCESS	130	KProtocol.h
STONG_SERVER_TO_CORE_BE_INSTATED	70	KProtocol.h
STONG_SERVER_TO_CORE_BE_KICKED	38	KProtocol.h
STONG_SERVER_TO_CORE_BE_CHANGED_AGNAME	36	KProtocol.h
STONG_SERVER_TO_CORE_BE_CHANGED_CAMP	12	KProtocol.h
STONG_SERVER_TO_CORE_BE_CHANGED_LEVEL	5	KProtocol.h
STONG_SERVER_TO_CORE_BE_CHANGED_MONEY	8	KProtocol.h
STONG_SERVER_TO_CORE_BE_CHANGED_TONG_EFF	8	KProtocol.h
STONG_SERVER_TO_CORE_BE_CHANGED_RECRUIT	8	KProtocol.h
STONG_SERVER_TO_CORE_BE_CHANGED_TONGPARAM	8	KProtocol.h
STONG_SERVER_TO_CORE_BE_CHANGED_JIYU	268	KProtocol.h
STONG_SERVER_TO_CORE_BE_CHANGED_EFF	16	KProtocol.h
STONG_SERVER_TO_CORE_LEAVE	40	KProtocol.h
STONG_SERVER_TO_CORE_CHECK_GET_MASTER_POWER	42	KProtocol.h
STONG_SERVER_TO_CORE_CHECK_GET_AGNAME_POWER	74	KProtocol.h
STONG_SERVER_TO_CORE_CHANGE_AS	74	KProtocol.h
STONG_SERVER_TO_CORE_CHANGE_MASTER	36	KProtocol.h
STONG_SERVER_TO_CORE_MONEY	25	KProtocol.h
STONG_SERVER_TO_CORE_EFF	21	KProtocol.h
STONG_SERVER_TO_CORE_LOGIN	439	KProtocol.h
TONG_APPLY_CREATE_COMMAND	40	KProtocol.h
TONG_APPLY_ADD_COMMAND	8	KProtocol.h
TONG_APPLY_INSTATE_COMMAND	44	KProtocol.h
TONG_CREATE_FAIL_SYNC	5	KProtocol.h
TONG_APPLY_ADD_SYNC	40	KProtocol.h
JOIN_TONG_SYNC	36	KProtocol.h
TONG_CREATE_SYNC	35	KProtocol.h
TONG_JOIN_REPLY	5	KProtocol.h
S2C_JOIN_TONG	33	KProtocol.h
S2C_TONG_JOIN_REPLY	9	KProtocol.h
TONG_ADD_SYNC	101	KProtocol.h
TONG_APPLY_DISMISS_COMMAND	4	KProtocol.h
TONG_DISMISS_SYNC	1	KProtocol.h
TONG_ACCEPT_MEMBER_COMMAND	13	KProtocol.h
TONG_APPLY_INFO_COMMAND	81	KProtocol.h
TONG_ONE_LEADER_INFO	582	KProtocol.h
TONG_ONE_MEMBER_INFO	45	KProtocol.h
TONG_HEAD_INFO_SYNC	4988	KProtocol.h
TONG_MANAGER_INFO_SYNC	4128	KProtocol.h
TONG_MEMBER_INFO_SYNC	465	KProtocol.h
TONG_SELF_INFO_SYNC	386	KProtocol.h
TONG_INSTATE_SYNC	77	KProtocol.h
TONG_APPLY_KICK_COMMAND	42	KProtocol.h
TONG_KICK_SYNC	43	KProtocol.h
TONG_APPLY_LEAVE_COMMAND	42	KProtocol.h
TONG_APPLY_CHANGE_MASTER_COMMAND	42	KProtocol.h
TONG_APPLY_CHANGE_AGNAME_COMMAND	74	KProtocol.h
TONG_APPLY_CHANGE_SEX_AGNAME_COMMAND	44	KProtocol.h
TONG_APPLY_CHANGE_CAMP_COMMAND	14	KProtocol.h
APPLY_GET_EXTPOINT_COMMAND	8	KProtocol.h
APPLY_GET_PARAM_COMMAND	8	KProtocol.h
TONG_CHANGE_MASTER_FAIL_SYNC	41	KProtocol.h
TONG_CHANGE_AGNAME_FAIL_SYNC	41	KProtocol.h
TONG_CHANGE_CAMP_FAIL_SYNC	41	KProtocol.h
TONG_CHANGE_CAMP_SYNC	5	KProtocol.h
TONG_CHANGE_LEVEL_SYNC	5	KProtocol.h
TONG_CHANGE_RECRUIT_SYNC	5	KProtocol.h
TONG_CHANGE_TONGPARAM_SYNC	8	KProtocol.h
TONG_CHANGE_RECRUIT_COMMAND	9	KProtocol.h
TONG_CHANGE_TONGPARAM_COMMAND	12	KProtocol.h
TONG_CHANGE_JIYU_SYNC	264	KProtocol.h
TONG_CHANGE_EFF_SYNC	12	KProtocol.h
TONG_APPLY_CHANGE_INFO_COMMAND	304	KProtocol.h
ITEM_DURABILITY_CHANGE	9	KProtocol.h
TITLE_SYNC	9	KProtocol.h
EXPANDTITLE_SYNC	81	KProtocol.h
ITEM_REPAIR	6	KProtocol.h
S2C_SYNCTASKVALUE	19	KProtocol.h
S2C_PLAYER_SYNC	9	KProtocol.h
PLAYER_COMMAND	9	KProtocol.h
C2S_BUF_COMMAND	33	KProtocol.h
S2C_EXTPOINT	9	KProtocol.h
PLAYER_GIVE	593	KProtocol.h
PLAYER_BREAK_COMMAND	13	KProtocol.h
SViewSellItemInfo	117	KProtocol.h
PLAYER_TRADE_ITEM_SYNC	118	KProtocol.h
PLAYER_LOCKMOVE	9	KProtocol.h
PLAYER_TRADE	9	KProtocol.h
PLAYER_TRADE_ACTION_SYNC	9	KProtocol.h
PLAYER_TRADE_BUY_COMMAND	12	KProtocol.h
PLAYER_TRADE_SET_COMMAND	9	KProtocol.h
PLAYER_TRADE_START_COMMAND	33	KProtocol.h
PLAYER_TRADE_START_FAIL_SYNC	1	KProtocol.h
TONG_CHANGE_AGNAME_COMMAND	72	KProtocol.h
TONG_APPLY_SAVE_EFF_COMMAND	49	KProtocol.h
TONG_APPLY_SAVE_COMMAND	44	KProtocol.h
STONG_SERVER_TO_CORE_AGNAME	72	KProtocol.h
PLAYER_MISSION_RANKDATA	1209	KProtocol.h
S2C_SUPERSHOP	69	KProtocol.h
SPAR_APPLY_START_COMMAND	5	KProtocol.h
SPAR_APPLY_START_SYNC	9	KProtocol.h
PLAYER_CHATROOM_DECISION_COMMAND	9	KProtocol.h
PLAYER_SEND_CREATE_CHATROOM_FALSE	2	KProtocol.h
CP_DATAU	5	KProtocol.h
PLAYER_SEND_CREATE_TEAM_SUCCESS	5	KProtocol.h
PLAYER_SEND_TEAM_INFO_DATA	37	KProtocol.h
PLAYER_SEND_SELF_TEAM_INFO_DATA	306	KProtocol.h
PLAYER_TEAM_ADD_MEMBER_DATA	38	KProtocol.h
defWORLD_SYNC	14	KProtocol.h
tagKSG_PASSWORD	64	KProtocol.h
tagProtoHeader	1	KProtocol.h
tagResult	2	KProtocol.h
tagDBSelPlayer	33	KProtocol.h
tagDBDelPlayer	129	KProtocol.h
tagNewDelRoleResponse	34	KProtocol.h
tagDBSyncPlayerInfo	5	KProtocol.h
tagGatewayBroadCast	265	KProtocol.h
tagGuidableInfo	25	KProtocol.h
tagPermitPlayerLogin	82	KProtocol.h
tagPermitPlayerExchange	24	KProtocol.h
tagNotifyPlayerLogin	88	KProtocol.h
tagQueryMapInfo	1	KProtocol.h
tagQueryGameSvrInfo	1	KProtocol.h
tagNotifySvrIp	12	KProtocol.h
tagNotifyPlayerExchange	23	KProtocol.h
tagRequestSvrIp	8	KProtocol.h
tagSearchWay	13	KProtocol.h
tagUpdateMapID	6	KProtocol.h
tagGameSvrInfo	13	KProtocol.h
tagIdentityMapping	29	KProtocol.h
tagLogicLogin	17	KProtocol.h
tagLogicLogout	33	KProtocol.h
tagRegisterAccount	33	KProtocol.h
tagEnterGame	33	KProtocol.h
tagEnterGame2	74	KProtocol.h
tagLeaveGame	36	KProtocol.h
tagLeaveGame2	35	KProtocol.h
tagRegisterFamily	4	KProtocol.h
tagGS2GWSaveRole	5	KProtocol.h
TProcessData	43	KProtocol.h
tagRoleEnterGame	34	KProtocol.h
NEW_PLAYER_COMMAND	36	KProtocol.h
tagSHOW_MSG_SYNC	9	KProtocol.h
tagS2C_PLAYER_SYNC	9	KProtocol.h
tagPLAYER_COMMAND	9	KProtocol.h
PLAYER_SEND_CHATROOM_STATE	22	KProtocol.h
PLAYER_REQUEST_CHATROOM_LIST	36	KProtocol.h
PLAYER_REQUEST_LIST	45	KProtocol.h
ASK_ADDFRIEND_CMD	35	KTongProtocol.h
ASK_ADDFRIEND_SYNC	35	KTongProtocol.h
REP_ADDFRIEND_CMD	36	KTongProtocol.h
REP_ADDFRIEND_SYNC	36	KTongProtocol.h
REP_ERASEFRIEND_SYNC	35	KTongProtocol.h
GROUP_FRIEND	2	KTongProtocol.h
ERASE_FRIEND	35	KTongProtocol.h
ASK_SYNCFRIENDLIST	4	KTongProtocol.h
REP_SYNCFRIENDLIST	3	KTongProtocol.h
FRIEND_STATE	3	KTongProtocol.h
FRIEND_ASSOCIATE	3	KTongProtocol.h
FRIEND_ASSOCIATEBEVY	2	KTongProtocol.h
FRIEND_SYNCASSOCIATE	2	KTongProtocol.h
EXTEND_PASSTOSOMEONE	12	KTongProtocol.h
EXTEND_PASSTOBEVY	6	KTongProtocol.h
STONG_CREATE_COMMAND	85	KTongProtocol.h
STONG_CREATE_SUCCESS_SYNC	46	KTongProtocol.h
STONG_CREATE_FAIL_SYNC	11	KTongProtocol.h
STONG_ADD_MEMBER_COMMAND	83	KTongProtocol.h
STONG_ADD_MEMBER_SUCCESS_SYNC	132	KTongProtocol.h
STONG_ADD_MEMBER_FAIL_SYNC	11	KTongProtocol.h
STONG_GET_TONG_HEAD_INFO_COMMAND	14	KTongProtocol.h
STONG_GET_MANAGER_INFO_COMMAND	18	KTongProtocol.h
STONG_GET_MEMBER_INFO_COMMAND	18	KTongProtocol.h
STONG_ONE_LEADER_INFO	582	KTongProtocol.h
STONG_ONE_MEMBER_INFO	45	KTongProtocol.h
STONG_HEAD_INFO_SYNC	4992	KTongProtocol.h
STONG_MANAGER_INFO_SYNC	4132	KTongProtocol.h
STONG_MEMBER_INFO_SYNC	469	KTongProtocol.h
STONG_INSTATE_COMMAND	46	KTongProtocol.h
STONG_BE_INSTATED_SYNC	80	KTongProtocol.h
STONG_BE_KICKED_SYNC	40	KTongProtocol.h
STONG_BE_CHANGED_AGNAME_SYNC	72	KTongProtocol.h
STONG_BE_CHANGED_CAMP_SYNC	15	KTongProtocol.h
STONG_INSTATE_SYNC	79	KTongProtocol.h
STONG_KICK_COMMAND	44	KTongProtocol.h
STONG_KICK_SYNC	45	KTongProtocol.h
STONG_LEAVE_COMMAND	44	KTongProtocol.h
STONG_LEAVE_SYNC	39	KTongProtocol.h
STONG_CHANGE_MASTER_COMMAND	44	KTongProtocol.h
STONG_CHANGE_AGNAME_COMMAND	76	KTongProtocol.h
STONG_CHANGE_CAMP_COMMAND	15	KTongProtocol.h
STONG_LOCK_ACCOUNT_COMMAND	38	KTongProtocol.h
STONG_UPDATE_EXTPOINT_COMMAND	42	KTongProtocol.h
STONG_GET_EXTPOINT_COMMAND	38	KTongProtocol.h
STONG_CHANGE_TONG_INFO_COMMAND	308	KTongProtocol.h
STONG_MESSAGE_INFO_COMMAND	294	KTongProtocol.h
STONG_CHANGE_TONG_INFO_SYNC	308	KTongProtocol.h
STONG_GET_EXTPOINT_SYNC	10	KTongProtocol.h
STONG_CHECK_GET_MASTER_POWER_SYNC	44	KTongProtocol.h
STONG_CHANGE_MASTER_FAIL_SYNC	43	KTongProtocol.h
STONG_CHECK_GET_AGNAME_POWER_SYNC	76	KTongProtocol.h
STONG_CHANGE_AGNAME_FAIL_SYNC	75	KTongProtocol.h
STONG_CHANGE_AS_SYNC	76	KTongProtocol.h
STONG_ACCEPT_MASTER_COMMAND	45	KTongProtocol.h
STONG_ACCEPT_AGNAME_COMMAND	77	KTongProtocol.h
STONG_ACCEPT_SEX_AGNAME_COMMAND	43	KTongProtocol.h
STONG_CHANGE_MASTER_SYNC	38	KTongProtocol.h
STONG_GET_LOGIN_DATA_COMMAND	43	KTongProtocol.h
STONG_LOGIN_DATA_SYNC	429	KTongProtocol.h
STONG_CHANGE_TONG_MEMBEREFF_COMMAND	55	KTongProtocol.h
STONG_CHANGE_TONG_MEMBEREFF_SYNC	51	KTongProtocol.h
STONG_MONEY_COMMAND	50	KTongProtocol.h
STONG_MONEY_SYNC	58	KTongProtocol.h
STONG_AGNAME_COMMAND	75	KTongProtocol.h
STONG_AGNAME_SYNC	78	KTongProtocol.h
GM_HEADER	34	KGmProtocol.h
GM_EXECUTE_COMMAND	38	KGmProtocol.h
GM_DISABLE_ACTION_COMMAND	37	KGmProtocol.h
GM_ENABLE_ACTION_COMMAND	37	KGmProtocol.h
GM_TRACK_COMMAND	37	KGmProtocol.h
GM_TRACK_SYNC	36	KGmProtocol.h
GM_ROLE_DATA_SUB_ENTER_POS	12	KGmProtocol.h
GM_SET_ROLE_DATA_COMMAND	38	KGmProtocol.h
GM_GET_ROLE_DATA_COMMAND	38	KGmProtocol.h
GM_GET_ROLE_DATA_SYNC	38	KGmProtocol.h
GM_GET_PLAYER_AT_GW_CMD	34	KGmProtocol.h
GM_GET_PLAYER_AT_GW_SYNC	78	KGmProtocol.h
GM_GET_ROLE_LIST_CMD	34	KGmProtocol.h
GM_GET_ROLE_LIST_SYNC	36	KGmProtocol.h
GM_UNLOCK_ACCOUNT	34	KGmProtocol.h
GM_BROADCAST_CHAT_CMD	36	KGmProtocol.h
GM_EXECUTE_SYNC	36	KGmProtocol.h
tagGMCmdHeader	34	KGmProtocol.h
tagGMExecuteCommand	38	KGmProtocol.h
tagGMDisableActionCmd	37	KGmProtocol.h
tagGMEnableActionCmd	37	KGmProtocol.h
tagTrackCmd	37	KGmProtocol.h
tagGMTrackSync	36	KGmProtocol.h
tagGMGetRoleEnterGamePos	12	KGmProtocol.h
tagGMSetRoleDataCmd	38	KGmProtocol.h
tagGMGetRoleDataCmd	38	KGmProtocol.h
tagGMGetRoleDataSync	38	KGmProtocol.h
tagGMGetPlayerAtGWCmd	34	KGmProtocol.h
tagGMGetPlayerAtGWSync	78	KGmProtocol.h
tagGMGetRoleListCmd	34	KGmProtocol.h
tagGMGetRoleListSync	36	KGmProtocol.h
tagGMUnlockAccount	34	KGmProtocol.h
tagGMBroadCastChatCmd	36	KGmProtocol.h
tagGMExecuteSync	36	KGmProtocol.h
