struct	alias	base	kind	size	offset	field	type	fieldsize
C2S_TONG_CHECK_APPLYER_STATE_RESPOND		EXTEND_HEADER	struct	83	11	szOperatorName	char[32]	32
C2S_TONG_CHECK_APPLYER_STATE_RESPOND		EXTEND_HEADER	struct	83	43	szApplyerName	char[32]	32
C2S_TONG_CHECK_APPLYER_STATE_RESPOND		EXTEND_HEADER	struct	83	75	bResult	BOOL	4
C2S_TONG_CHECK_APPLYER_STATE_RESPOND		EXTEND_HEADER	struct	83	79	dwGSID	DWORD	4
CHATROOM_C2S_HEAD		tagProtocolHeader	struct	4	0	(base)	tagProtocolHeader	1
CHATROOM_C2S_HEAD		tagProtocolHeader	struct	4	1	nMsgLen	WORD	2
CHATROOM_C2S_HEAD		tagProtocolHeader	struct	4	3	nCmd	BYTE	1
CHATROOM_HEAD		tagProtocolHeader	struct	2	0	(base)	tagProtocolHeader	1
CHATROOM_HEAD		tagProtocolHeader	struct	2	1	nCmd	BYTE	1
CHATROOM_S2C_HEAD		tagProtocolHeader	struct	4	0	(base)	tagProtocolHeader	1
CHATROOM_S2C_HEAD		tagProtocolHeader	struct	4	1	nMsgLen	WORD	2
CHATROOM_S2C_HEAD		tagProtocolHeader	struct	4	3	nCmd	BYTE	1
CHAT_MSG_EX		EXTEND_HEADER	struct	68	0	(base)	EXTEND_HEADER	2
CHAT_MSG_EX		EXTEND_HEADER	struct	68	2	m_szSourceName	char[32]	32
CHAT_MSG_EX		EXTEND_HEADER	struct	68	34	m_szAccountName	char[32]	32
CHAT_MSG_EX		EXTEND_HEADER	struct	68	66	SentenceLength	WORD	2
CHAT_NPCCHAT		tagProtocolHeader	struct	7	0	(base)	tagProtocolHeader	1
CHAT_NPCCHAT		tagProtocolHeader	struct	7	1	dwNpcId	DWORD	4
CHAT_NPCCHAT		tagProtocolHeader	struct	7	5	wMsgLen	WORD	2
CITYWAR_RELAYHEADER_G2R		EXTEND_HEADER	struct	2	0	(base)	EXTEND_HEADER	2
CITYWAR_RELAYHEADER_R2G		EXTEND_HEADER	struct	2	0	(base)	EXTEND_HEADER	2
DISMISS_RELATION		EXTEND_HEADER	struct	98	0	(base)	EXTEND_HEADER	2
DISMISS_RELATION		EXTEND_HEADER	struct	98	2	RoleA	char[32]	32
DISMISS_RELATION		EXTEND_HEADER	struct	98	34	RoleB	char[32]	32
DISMISS_RELATION		EXTEND_HEADER	struct	98	66	Relation	char[32]	32
EXTEND_PASSTOBEVY		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
EXTEND_PASSTOBEVY		EXTEND_HEADER	struct	6	2	datasize	WORD	2
EXTEND_PASSTOBEVY		EXTEND_HEADER	struct	6	4	playercount	WORD	2
EXTEND_PASSTOSOMEONE		EXTEND_HEADER	struct	12	0	(base)	EXTEND_HEADER	2
EXTEND_PASSTOSOMEONE		EXTEND_HEADER	struct	12	2	nameid	DWORD	4
EXTEND_PASSTOSOMEONE		EXTEND_HEADER	struct	12	6	lnID	long unsigned int	4
EXTEND_PASSTOSOMEONE		EXTEND_HEADER	struct	12	10	datasize	WORD	2
FRIEND_ASSOCIATE		EXTEND_HEADER	struct	3	0	(base)	EXTEND_HEADER	2
FRIEND_ASSOCIATE		EXTEND_HEADER	struct	3	2	bidir	BYTE	1
FRIEND_ASSOCIATEBEVY		EXTEND_HEADER	struct	2	0	(base)	EXTEND_HEADER	2
FRIEND_STATE		EXTEND_HEADER	struct	3	0	(base)	EXTEND_HEADER	2
FRIEND_STATE		EXTEND_HEADER	struct	3	2	state	BYTE	1
ITEM_BIND_SYNC		tagProtocolHeader	struct	9	0	(base)	tagProtocolHeader	1
ITEM_BIND_SYNC		tagProtocolHeader	struct	9	1	m_dwID	DWORD	4
ITEM_BIND_SYNC		tagProtocolHeader	struct	9	5	m_nBindState	int	4
KC2S_TONG_ACCEPT_OR_REFUSE		EXTEND_HEADER	struct	76	0	(base)	EXTEND_HEADER	2
KC2S_TONG_ACCEPT_OR_REFUSE		EXTEND_HEADER	struct	76	2	dwTongID	DWORD	4
KC2S_TONG_ACCEPT_OR_REFUSE		EXTEND_HEADER	struct	76	6	byAccept	BYTE	1
KC2S_TONG_ACCEPT_OR_REFUSE		EXTEND_HEADER	struct	76	7	byCurPageIndex	BYTE	1
KC2S_TONG_ACCEPT_OR_REFUSE		EXTEND_HEADER	struct	76	8	nOperatorIndex	int	4
KC2S_TONG_ACCEPT_OR_REFUSE		EXTEND_HEADER	struct	76	12	szOperatorName	char[32]	32
KC2S_TONG_ACCEPT_OR_REFUSE		EXTEND_HEADER	struct	76	44	szPlayerName	char[32]	32
KC2S_TONG_ADD_TO_APPLY_LIST		EXTEND_HEADER	struct	48	0	(base)	EXTEND_HEADER	2
KC2S_TONG_ADD_TO_APPLY_LIST		EXTEND_HEADER	struct	48	2	dwTongID	DWORD	4
KC2S_TONG_ADD_TO_APPLY_LIST		EXTEND_HEADER	struct	48	6	dwPlayerNameID	DWORD	4
KC2S_TONG_ADD_TO_APPLY_LIST		EXTEND_HEADER	struct	48	10	dwOfferBring	DWORD	4
KC2S_TONG_ADD_TO_APPLY_LIST		EXTEND_HEADER	struct	48	14	btSex	BYTE	1
KC2S_TONG_ADD_TO_APPLY_LIST		EXTEND_HEADER	struct	48	15	btLevel	BYTE	1
KC2S_TONG_ADD_TO_APPLY_LIST		EXTEND_HEADER	struct	48	16	szPlayerName	char[32]	32
KC2S_TONG_GET_APPLY_LIST		EXTEND_HEADER	struct	11	0	(base)	EXTEND_HEADER	2
KC2S_TONG_GET_APPLY_LIST		EXTEND_HEADER	struct	11	2	dwTongID	DWORD	4
KC2S_TONG_GET_APPLY_LIST		EXTEND_HEADER	struct	11	6	nPlayerIndex	int	4
KC2S_TONG_GET_APPLY_LIST		EXTEND_HEADER	struct	11	10	byPageIndex	BYTE	1
KC2S_TONG_SAVE_ZHAOMU_INFO		EXTEND_HEADER	struct	141	0	(base)	EXTEND_HEADER	2
KC2S_TONG_SAVE_ZHAOMU_INFO		EXTEND_HEADER	struct	141	2	dwTongID	DWORD	4
KC2S_TONG_SAVE_ZHAOMU_INFO		EXTEND_HEADER	struct	141	6	ZhaoMuInfo	KZhaoMuInfo	135
KILLER_CANCELTASK_G2R	KILLER_TAKETASK_G2R	EXTEND_HEADER	struct	38	0	(base)	EXTEND_HEADER	2
KILLER_CANCELTASK_G2R	KILLER_TAKETASK_G2R	EXTEND_HEADER	struct	38	2	m_nTaskID	int	4
KILLER_CANCELTASK_G2R	KILLER_TAKETASK_G2R	EXTEND_HEADER	struct	38	6	szRoleName	char[32]	32
KILLER_CREATETASK		EXTEND_HEADER	struct	74	0	(base)	EXTEND_HEADER	2
KILLER_CREATETASK		EXTEND_HEADER	struct	74	2	m_nRentFee	int	4
KILLER_CREATETASK		EXTEND_HEADER	struct	74	6	m_chCreatorName	char[32]	32
KILLER_CREATETASK		EXTEND_HEADER	struct	74	38	m_chKilleeName	char[32]	32
KILLER_CREATETASK		EXTEND_HEADER	struct	74	70	m_nReward	int	4
KILLER_CREATETASK_FAILED	KILLER_CANCELTASK_R2G	EXTEND_HEADER	struct	10	0	(base)	EXTEND_HEADER	2
KILLER_CREATETASK_FAILED	KILLER_CANCELTASK_R2G	EXTEND_HEADER	struct	10	2	m_nNameID	int	4
KILLER_CREATETASK_FAILED	KILLER_CANCELTASK_R2G	EXTEND_HEADER	struct	10	6	m_nMoneyReturn	int	4
KILLER_GETMONEY		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
KILLER_GETMONEY		EXTEND_HEADER	struct	6	2	m_nTaskID	int	4
KILLER_PK		EXTEND_HEADER	struct	66	0	(base)	EXTEND_HEADER	2
KILLER_PK		EXTEND_HEADER	struct	66	2	m_chKillerName	char[32]	32
KILLER_PK		EXTEND_HEADER	struct	66	34	m_chKilleeName	char[32]	32
KILLER_QUERYTASK_G2R		EXTEND_HEADER	struct	38	0	(base)	EXTEND_HEADER	2
KILLER_QUERYTASK_G2R		EXTEND_HEADER	struct	38	2	m_nQueryType	int	4
KILLER_QUERYTASK_G2R		EXTEND_HEADER	struct	38	6	m_szQueryer	char[32]	32
KILLER_REPLYSCRIPT		EXTEND_HEADER	struct	24	0	(base)	EXTEND_HEADER	2
KILLER_REPLYSCRIPT		EXTEND_HEADER	struct	24	2	m_nNameID	int	4
KILLER_REPLYSCRIPT		EXTEND_HEADER	struct	24	6	m_dwRewardTaskID	DWORD	4
KILLER_REPLYSCRIPT		EXTEND_HEADER	struct	24	10	m_nReward	int	4
KILLER_REPLYSCRIPT		EXTEND_HEADER	struct	24	14	m_dwCancelTaskID	DWORD	4
KILLER_REPLYSCRIPT		EXTEND_HEADER	struct	24	18	m_nCancelMoney	int	4
KILLER_REPLYSCRIPT		EXTEND_HEADER	struct	24	22	m_nOwnTaskCount	char	1
KILLER_REPLYSCRIPT		EXTEND_HEADER	struct	24	23	m_nMyTaskCount	char	1
KILLER_SCRIPTASK		EXTEND_HEADER	struct	34	0	(base)	EXTEND_HEADER	2
KILLER_SCRIPTASK		EXTEND_HEADER	struct	34	2	m_chRoleName	char[32]	32
KPLAYER_LIMITTIME_SYNC		tagProtocolHeader	struct	13	0	(base)	tagProtocolHeader	1
KPLAYER_LIMITTIME_SYNC		tagProtocolHeader	struct	13	1	dwLimitTimeFlag	DWORD	4
KPLAYER_LIMITTIME_SYNC		tagProtocolHeader	struct	13	5	dwLimitTimeOnlineSeconds	DWORD	4
KPLAYER_LIMITTIME_SYNC		tagProtocolHeader	struct	13	9	dwLimitTimeOfflineSeconds	DWORD	4
KPROTOGR_DOSCRIPT		EXTEND_HEADER	struct	17	0	(base)	EXTEND_HEADER	2
KPROTOGR_DOSCRIPT		EXTEND_HEADER	struct	17	2	byPathNameLen	BYTE	1
KPROTOGR_DOSCRIPT		EXTEND_HEADER	struct	17	3	byFuncNameLen	BYTE	1
KPROTOGR_DOSCRIPT		EXTEND_HEADER	struct	17	4	dwParamObjLen	DWORD	4
KPROTOGR_DOSCRIPT		EXTEND_HEADER	struct	17	8	dwCallBackScript	DWORD	4
KPROTOGR_DOSCRIPT		EXTEND_HEADER	struct	17	12	dwCallBackParam	DWORD	4
KPROTOGR_DOSCRIPT		EXTEND_HEADER	struct	17	16	byCallBackFuncLen	BYTE	1
KPROTOGR_NW_ENTHRONE		EXTEND_HEADER	struct	68	0	(base)	EXTEND_HEADER	2
KPROTOGR_NW_ENTHRONE		EXTEND_HEADER	struct	68	2	szName	char[32]	32
KPROTOGR_NW_ENTHRONE		EXTEND_HEADER	struct	68	34	szTong	char[32]	32
KPROTOGR_NW_ENTHRONE		EXTEND_HEADER	struct	68	66	bySide	BYTE	1
KPROTOGR_NW_ENTHRONE		EXTEND_HEADER	struct	68	67	bySex	BYTE	1
KPROTOGR_NW_REMARKEMPEROR		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
KPROTOGR_NW_REMARKEMPEROR		EXTEND_HEADER	struct	6	2	nRemark	int	4
KPROTOGR_NW_SETNATIONTITLE		EXTEND_HEADER	struct	34	0	(base)	EXTEND_HEADER	2
KPROTOGR_NW_SETNATIONTITLE		EXTEND_HEADER	struct	34	2	szTitle	char[32]	32
KPROTOGR_NW_SETTASK		EXTEND_HEADER	struct	10	0	(base)	EXTEND_HEADER	2
KPROTOGR_NW_SETTASK		EXTEND_HEADER	struct	10	2	dwIndex	DWORD	4
KPROTOGR_NW_SETTASK		EXTEND_HEADER	struct	10	6	dwValue	DWORD	4
KPROTORG_NW_AWARDEMPEROR		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_AWARDEMPEROR		EXTEND_HEADER	struct	6	2	dwExp	DWORD	4
KPROTORG_NW_CONGRATULATION		EXTEND_HEADER	struct	60	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_CONGRATULATION		EXTEND_HEADER	struct	60	2	szWords	char[56]	56
KPROTORG_NW_CONGRATULATION		EXTEND_HEADER	struct	60	58	wTimeout	WORD	2
KPROTORG_NW_FORBIDCHAT		EXTEND_HEADER	struct	38	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_FORBIDCHAT		EXTEND_HEADER	struct	38	2	szName	char[32]	32
KPROTORG_NW_FORBIDCHAT		EXTEND_HEADER	struct	38	34	nTime	int	4
KPROTORG_NW_LEVY		EXTEND_HEADER	struct	10	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_LEVY		EXTEND_HEADER	struct	10	2	nAmount	int	4
KPROTORG_NW_LEVY		EXTEND_HEADER	struct	10	6	nMinLevel	int	4
KPROTORG_NW_LEVYAMOUNT		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_LEVYAMOUNT		EXTEND_HEADER	struct	6	2	nAmount	int	4
KPROTORG_NW_SYNCEMPEROR		EXTEND_HEADER	struct	132	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_SYNCEMPEROR		EXTEND_HEADER	struct	132	2	sInfo	KEMPIRE_INFO	130
KPROTORG_NW_SYNCHISTORY		EXTEND_HEADER	struct	100	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_SYNCHISTORY		EXTEND_HEADER	struct	100	2	sHistory	KEMPIRE_HISTORY	98
KPROTORG_NW_SYNCNATIONTITLE		EXTEND_HEADER	struct	34	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_SYNCNATIONTITLE		EXTEND_HEADER	struct	34	2	szTitle	char[32]	32
KPROTORG_NW_SYNCREMARK		EXTEND_HEADER	struct	10	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_SYNCREMARK		EXTEND_HEADER	struct	10	2	dwGoodness	DWORD	4
KPROTORG_NW_SYNCREMARK		EXTEND_HEADER	struct	10	6	dwBadness	DWORD	4
KPROTORG_NW_SYNCSEALOWNER		EXTEND_HEADER	struct	34	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_SYNCSEALOWNER		EXTEND_HEADER	struct	34	2	szOwner	char[32]	32
KPROTORG_NW_SYNCTASK		EXTEND_HEADER	struct	4	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_SYNCTASK		EXTEND_HEADER	struct	4	2	wCount	WORD	2
KPROTORG_NW_TITLEUPDATE		EXTEND_HEADER	struct	38	0	(base)	EXTEND_HEADER	2
KPROTORG_NW_TITLEUPDATE		EXTEND_HEADER	struct	38	2	dwTongID	DWORD	4
KPROTORG_NW_TITLEUPDATE		EXTEND_HEADER	struct	38	6	szName	char[32]	32
KPROTORG_SCRIPTRESULT		EXTEND_HEADER	struct	15	0	(base)	EXTEND_HEADER	2
KPROTORG_SCRIPTRESULT		EXTEND_HEADER	struct	15	2	dwCallBackScript	DWORD	4
KPROTORG_SCRIPTRESULT		EXTEND_HEADER	struct	15	6	dwCallBackParam	DWORD	4
KPROTORG_SCRIPTRESULT		EXTEND_HEADER	struct	15	10	byCallBackFuncLen	BYTE	1
KPROTORG_SCRIPTRESULT		EXTEND_HEADER	struct	15	11	dwResultLen	DWORD	4
KPROTO_DUNGEONMAP		EXTEND_HEADER	struct	23	0	(base)	EXTEND_HEADER	2
KPROTO_DUNGEONMAP		EXTEND_HEADER	struct	23	2	dwMapID	DWORD	4
KPROTO_DUNGEONMAP		EXTEND_HEADER	struct	23	6	dwMapTempID	DWORD	4
KPROTO_DUNGEONMAP		EXTEND_HEADER	struct	23	10	bNeedSave	BOOL	4
KPROTO_DUNGEONMAP		EXTEND_HEADER	struct	23	14	bOccupy	BOOL	4
KPROTO_DUNGEONMAP		EXTEND_HEADER	struct	23	18	byOper	BYTE	1
KPROTO_DUNGEONMAP		EXTEND_HEADER	struct	23	19	bResult	BOOL	4
KPROTO_GS2R_SYNCEND		EXTEND_HEADER	struct	34	0	(base)	EXTEND_HEADER	2
KPROTO_GS2R_SYNCEND		EXTEND_HEADER	struct	34	2	szAccount	char[32]	32
KPROTO_S2C_TMPCAMP		tagProtocolHeader	struct	9	0	(base)	tagProtocolHeader	1
KPROTO_S2C_TMPCAMP		tagProtocolHeader	struct	9	1	dwID	DWORD	4
KPROTO_S2C_TMPCAMP		tagProtocolHeader	struct	9	5	dwTmpCamp	DWORD	4
KPROTO_SYNCBALANCE		tagProtocolHeader	struct	6	0	(base)	tagProtocolHeader	1
KPROTO_SYNCBALANCE		tagProtocolHeader	struct	6	1	byType	BYTE	1
KPROTO_SYNCBALANCE		tagProtocolHeader	struct	6	2	dwBalance	DWORD	4
KPROTO_SYNCRESIST		tagProtocolHeader	struct	102	0	(base)	tagProtocolHeader	1
KPROTO_SYNCRESIST		tagProtocolHeader	struct	102	1	(base)	KRESIST_ATTR	100
KPROTO_SYNCRESIST		tagProtocolHeader	struct	102	101	bySkillMaxLevelAddons	BYTE	1
KREFUSE_APPLY_JOIN_TONG		EXTEND_HEADER	struct	66	0	(base)	EXTEND_HEADER	2
KREFUSE_APPLY_JOIN_TONG		EXTEND_HEADER	struct	66	2	szSrcName	char[32]	32
KREFUSE_APPLY_JOIN_TONG		EXTEND_HEADER	struct	66	34	szTargetName	char[32]	32
KREQUEST_TONG_ZHAOMU_APPLY_JOIN		tagProtocolHeader	struct	8	0	(base)	tagProtocolHeader	1
KREQUEST_TONG_ZHAOMU_APPLY_JOIN		tagProtocolHeader	struct	8	1	m_wLength	WORD	2
KREQUEST_TONG_ZHAOMU_APPLY_JOIN		tagProtocolHeader	struct	8	3	m_btMsgId	BYTE	1
KREQUEST_TONG_ZHAOMU_APPLY_JOIN		tagProtocolHeader	struct	8	4	m_dwTongID	DWORD	4
KREQUEST_TONG_ZHAOMU_PAGE_REQUEST		tagProtocolHeader	struct	8	0	(base)	tagProtocolHeader	1
KREQUEST_TONG_ZHAOMU_PAGE_REQUEST		tagProtocolHeader	struct	8	1	m_wLength	WORD	2
KREQUEST_TONG_ZHAOMU_PAGE_REQUEST		tagProtocolHeader	struct	8	3	m_btMsgId	BYTE	1
KREQUEST_TONG_ZHAOMU_PAGE_REQUEST		tagProtocolHeader	struct	8	4	m_nPageIndex	int	4
KREQUEST_TONG_ZHAOMU_REQUEST		tagProtocolHeader	struct	8	0	(base)	tagProtocolHeader	1
KREQUEST_TONG_ZHAOMU_REQUEST		tagProtocolHeader	struct	8	1	m_wLength	WORD	2
KREQUEST_TONG_ZHAOMU_REQUEST		tagProtocolHeader	struct	8	3	m_btMsgId	BYTE	1
KREQUEST_TONG_ZHAOMU_REQUEST		tagProtocolHeader	struct	8	4	dwTongID	DWORD	4
KSAVE_TONG_ZHAOMU_REQUEST		tagProtocolHeader	struct	143	0	(base)	tagProtocolHeader	1
KSAVE_TONG_ZHAOMU_REQUEST		tagProtocolHeader	struct	143	1	m_wLength	WORD	2
KSAVE_TONG_ZHAOMU_REQUEST		tagProtocolHeader	struct	143	3	m_btMsgId	BYTE	1
KSAVE_TONG_ZHAOMU_REQUEST		tagProtocolHeader	struct	143	4	dwTongID	DWORD	4
KSAVE_TONG_ZHAOMU_REQUEST		tagProtocolHeader	struct	143	8	ZhaoMuInfo	KZhaoMuInfo	135
KSYNC_ID_ZHAOMU_APPLY_INFO		tagProtocolHeader	struct	6	0	(base)	tagProtocolHeader	1
KSYNC_ID_ZHAOMU_APPLY_INFO		tagProtocolHeader	struct	6	1	m_wLength	WORD	2
KSYNC_ID_ZHAOMU_APPLY_INFO		tagProtocolHeader	struct	6	3	m_btMsgId	BYTE	1
KSYNC_ID_ZHAOMU_APPLY_INFO		tagProtocolHeader	struct	6	4	byPageIndex	BYTE	1
KSYNC_ID_ZHAOMU_APPLY_INFO		tagProtocolHeader	struct	6	5	byCount	BYTE	1
KSYNC_ID_ZHAOMU_APPLY_INFO		tagProtocolHeader	struct	6	6	ApplyInfo	KRET_APPLYINFO[]	
KSYNC_TONG_APPLY_INFO		EXTEND_HEADER	struct	14	0	(base)	EXTEND_HEADER	2
KSYNC_TONG_APPLY_INFO		EXTEND_HEADER	struct	14	2	wLength	WORD	2
KSYNC_TONG_APPLY_INFO		EXTEND_HEADER	struct	14	4	dwTongID	DWORD	4
KSYNC_TONG_APPLY_INFO		EXTEND_HEADER	struct	14	8	nPlayerIndex	int	4
KSYNC_TONG_APPLY_INFO		EXTEND_HEADER	struct	14	12	byPageIndex	BYTE	1
KSYNC_TONG_APPLY_INFO		EXTEND_HEADER	struct	14	13	byCount	BYTE	1
KSYNC_TONG_APPLY_INFO		EXTEND_HEADER	struct	14	14	ApplyInfo	KRET_APPLYINFO[]	
KSYNC_TONG_ZHAOMU_INFO		EXTEND_HEADER	struct	141	0	(base)	EXTEND_HEADER	2
KSYNC_TONG_ZHAOMU_INFO		EXTEND_HEADER	struct	141	2	dwTongID	DWORD	4
KSYNC_TONG_ZHAOMU_INFO		EXTEND_HEADER	struct	141	6	ZhaoMuInfo	KZhaoMuInfo	135
KSYNC_TONG_ZHAOMU_PAGE_TO_CLIENT		tagProtocolHeader	struct	721	0	(base)	tagProtocolHeader	1
KSYNC_TONG_ZHAOMU_PAGE_TO_CLIENT		tagProtocolHeader	struct	721	1	m_wLength	WORD	2
KSYNC_TONG_ZHAOMU_PAGE_TO_CLIENT		tagProtocolHeader	struct	721	3	m_btMsgId	BYTE	1
KSYNC_TONG_ZHAOMU_PAGE_TO_CLIENT		tagProtocolHeader	struct	721	4	byPageIndex	BYTE	1
KSYNC_TONG_ZHAOMU_PAGE_TO_CLIENT		tagProtocolHeader	struct	721	5	ShowInfo	KTongShowInfo[4]	716
KSYNC_TONG_ZHAOMU_TO_CLIENT		tagProtocolHeader	struct	143	0	(base)	tagProtocolHeader	1
KSYNC_TONG_ZHAOMU_TO_CLIENT		tagProtocolHeader	struct	143	1	m_wLength	WORD	2
KSYNC_TONG_ZHAOMU_TO_CLIENT		tagProtocolHeader	struct	143	3	m_btMsgId	BYTE	1
KSYNC_TONG_ZHAOMU_TO_CLIENT		tagProtocolHeader	struct	143	4	dwTongID	DWORD	4
KSYNC_TONG_ZHAOMU_TO_CLIENT		tagProtocolHeader	struct	143	8	ZhaoMuInfo	KZhaoMuInfo	135
KZHAOMU_ACCEPT_OR_REFUSE		tagProtocolHeader	struct	38	0	(base)	tagProtocolHeader	1
KZHAOMU_ACCEPT_OR_REFUSE		tagProtocolHeader	struct	38	1	m_wLength	WORD	2
KZHAOMU_ACCEPT_OR_REFUSE		tagProtocolHeader	struct	38	3	m_btMsgId	BYTE	1
KZHAOMU_ACCEPT_OR_REFUSE		tagProtocolHeader	struct	38	4	m_byAccept	BYTE	1
KZHAOMU_ACCEPT_OR_REFUSE		tagProtocolHeader	struct	38	5	m_byCurPageIndex	BYTE	1
KZHAOMU_ACCEPT_OR_REFUSE		tagProtocolHeader	struct	38	6	szName	char[32]	32
KZHAOMU_GET_APPLY_INFO		tagProtocolHeader	struct	5	0	(base)	tagProtocolHeader	1
KZHAOMU_GET_APPLY_INFO		tagProtocolHeader	struct	5	1	m_wLength	WORD	2
KZHAOMU_GET_APPLY_INFO		tagProtocolHeader	struct	5	3	m_btMsgId	BYTE	1
KZHAOMU_GET_APPLY_INFO		tagProtocolHeader	struct	5	4	m_byPageIndex	BYTE	1
LADDER_RELAYHEADER_G2R		EXTEND_HEADER	struct	52	0	(base)	EXTEND_HEADER	2
LADDER_RELAYHEADER_G2R		EXTEND_HEADER	struct	52	2	ulLadderID	unsigned int	4
LADDER_RELAYHEADER_G2R		EXTEND_HEADER	struct	52	6	RoleList	TRoleList	46
LEAGUE_RELAYHEADER		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
LEAGUE_RELAYHEADER		EXTEND_HEADER	struct	6	2	dwServiceMatchID	DWORD	4
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	0	(base)	tagProtocolHeader	1
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	1	m_dwNpcID	DWORD	4
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	5	m_btFeaturePriority	BYTE	1
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	6	m_btFeatureState	BYTE	1
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	7	m_dwNpcSettingIdx	DWORD	4
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	11	m_wHelmType	WORD	2
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	13	m_wArmorType	WORD	2
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	15	m_wWeaponType	WORD	2
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	17	m_wHorseType	WORD	2
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	19	m_wMantleType	WORD	2
NPC_FEATURE_SYNC		tagProtocolHeader	struct	22	21	m_btChangeFeatureCount	BYTE	1
NPC_RUN_COMMAND		tagProtocolHeader	struct	13	0	(base)	tagProtocolHeader	1
NPC_RUN_COMMAND		tagProtocolHeader	struct	13	1	nMpsX	int	4
NPC_RUN_COMMAND		tagProtocolHeader	struct	13	5	nMpsY	int	4
NPC_RUN_COMMAND		tagProtocolHeader	struct	13	9	dwCheckValue	DWORD	4
NPC_SKILL_COMMAND		tagProtocolHeader	struct	17	0	(base)	tagProtocolHeader	1
NPC_SKILL_COMMAND		tagProtocolHeader	struct	17	1	nMpsY	int	4
NPC_SKILL_COMMAND		tagProtocolHeader	struct	17	5	nSkillID	int	4
NPC_SKILL_COMMAND		tagProtocolHeader	struct	17	9	nMpsX	int	4
