# generated by tools/ida/dump_send_ids.py
# 8401 functions decompiled, 1 failed, 575 assignments found
struct	field	value	function	count
KPROTOGR_NW_POSITIONCHANGE	ProtocolID	6	_ZN11KPlayerTong10NW_InstateEPKc23KE_NATIONALWAR_POSITION	1
KPROTOGR_NW_POSITIONCHANGE	ProtocolID	6	_ZN7KEmpire12SyncPositionEiPK9KTongData	1
KPROTOGR_NW_REMARKEMPEROR	ProtocolFamily	16	_Z19LuaNW_RemarkEmperorP9lua_State	1
KPROTOGR_NW_REMARKEMPEROR	ProtocolID	4	_Z19LuaNW_RemarkEmperorP9lua_State	1
KPROTOGR_NW_SETNATIONTITLE	ProtocolFamily	16	_Z20LuaNW_SetNationTitleP9lua_State	1
KPROTOGR_NW_SETNATIONTITLE	ProtocolID	2	_Z20LuaNW_SetNationTitleP9lua_State	1
KPROTOGR_NW_SETTASK	ProtocolFamily	16	_ZN7KEmpire7SetTaskEmm	1
KPROTOGR_NW_SETTASK	ProtocolID	5	_ZN7KEmpire7SetTaskEmm	1
KPROTOSC_NW_POSITON	cProtocol	-51	_ZN7KEmpire12SyncPositionEihm	1
KPROTOSC_NW_SYNCEMPEROR	cProtocol	-51	_ZN7KEmpire16BroadCastEmperorEi	1
KPROTOSC_NW_SYNCNATIONTITLE	cProtocol	-51	_ZN7KEmpire20BroadCastNationTitleEi	1
KPROTO_DUNGEONMAP	ProtocolFamily	0	_ZN11KDungeonMap10ProvideMapEv	1
KPROTO_DUNGEONMAP	ProtocolFamily	0	_ZN11KDungeonMap11ApplyDelMapEm	1
KPROTO_DUNGEONMAP	ProtocolFamily	0	_ZN11KDungeonMap18FreeMapMaintenanceEv	2
KPROTO_DUNGEONMAP	ProtocolID	58	_ZN11KDungeonMap10ProvideMapEv	1
KPROTO_DUNGEONMAP	ProtocolID	58	_ZN11KDungeonMap11ApplyDelMapEm	1
KPROTO_DUNGEONMAP	ProtocolID	58	_ZN11KDungeonMap18FreeMapMaintenanceEv	2
KPROTO_GS2R_SYNCEND	ProtocolFamily	0	_ZN12KHostProcess13NotifySyncEndEPKc	1
KPROTO_GS2R_SYNCEND	ProtocolID	70	_ZN12KHostProcess13NotifySyncEndEPKc	1
KPROTO_S2C_TMPCAMP	cProtocol	-47	_ZN4KNpc11SyncTmpCampEP7KPlayer	1
KPROTO_SCRIPTPROTOCOL	cProtocol	-49	_Z14SendScriptDataP7KPlayertPKvj	1
KPROTO_SYNCBALANCE	cProtocol	-50	_ZN7KPlayer11SyncBalanceE12CurrencyTypem	1
KPROTO_SYNCRESIST	cProtocol	-52	_ZN7KPlayer14SendSyncResistEv	1
KSYNC_TONG_ZHAOMU_PAGE_TO_CLIENT	cProtocol	-3	_ZN11KPlayerTong26SendZhaoMuPageInfoToPlayerEi	1
KSYNC_TONG_ZHAOMU_TO_CLIENT	cProtocol	-3	_ZN11KPlayerTong22SendZhaoMuInfoToPlayerEv	1
LADDER_DATA	cProtocol	-106	_ZN16KProtocolProcess11LadderQueryEiPh	1
LADDER_RELAYHEADER_G2R	ProtocolFamily	12	_Z15Lua_ClearLadderP9lua_State	1
LADDER_RELAYHEADER_G2R	ProtocolFamily	12	_Z21g_MsgNewLadderToRelayiPcxiii	1
LADDER_RELAYHEADER_G2R	ProtocolID	1	_Z21g_MsgNewLadderToRelayiPcxiii	1
LADDER_RELAYHEADER_G2R	ProtocolID	2	_Z15Lua_ClearLadderP9lua_State	1
MIX_PROTOCOL	cProtocol	-60	_Z18LuaSaveMaskFeatureP9lua_State	1
MIX_PROTOCOL	cProtocol	-60	_ZN16KNpcAttribModify12StealFeatureEP4KNpcS1_P12KMagicAttrib	1
MIX_PROTOCOL	cProtocol	-60	_ZN7KPlayer18LoadPlayerItemListEPhRS0_Rj	1
NOTIFY_CLIENT	cProtocol	-97	_ZN4KNpc10SyncNotifyEP7KPlayer	1
NOTIFY_CLIENT	cProtocol	-97	_ZN7KPlayer11SetPortraitEi	1
NOTIFY_CLIENT	cProtocol	-97	_ZN7KPlayer4GiveEmiPmi	1
NPC_CHGCAMP_SYNC	cProtocol	89	_ZN4KNpc7SetCampEi	1
NPC_CHGCURCAMP_SYNC	cProtocol	88	_ZN4KNpc14SetCurrentCampEi	1
NPC_DEATH_SYNC	cProtocol	87	_ZN4KNpc7DoDeathEii	1
NPC_FEATURE_SYNC	cProtocol	-83	_ZN4KNpc15SyncFeatureDataEP7KPlayer	1
NPC_GOLD_CHANGE_SYNC	cProtocol	-102	_ZN8KNpcGold14RandChangeGoldEii	1
NPC_JUMP_SYNC	cProtocol	84	_ZN4KNpc6DoJumpEv	1
NPC_NET_COMMAND	cProtocol	86	_ZN4KNpc14SyncNetCommandE6NPCCMDiiii	1
NPC_NET_COMMAND	cProtocol	86	_ZN4KNpc19BroadCastNetCommandE6NPCCMDiiii	1
NPC_NORMAL_SYNC	cProtocol	77	_ZN4KNpc10NormalSyncEP7KPlayer	1
NPC_PET_SYNC	cProtocol	-2	_ZN4KPet7SetNameEPKc	1
NPC_PLAYER_TYPE_NORMAL_SYNC	cProtocol	78	_ZN4KNpc16SyncNpcMinPlayerEP7KPlayer	1
NPC_POS_SYNC	cProtocol	-59	_ZN4KNpc7SyncPosEP7KPlayeri	1
NPC_RANKID_SYNC	cProtocol	-91	_ZN4KNpc10RankIdSyncEv	1
NPC_RANKID_SYNC	cProtocol	-91	_ZN4KNpc15BroadCastRankIdEv	1
NPC_REMOVE_SYNC	cProtocol	79	_Z10LuaHideNpcP9lua_State	1
NPC_REMOVE_SYNC	cProtocol	79	_ZN13KFightPartner7CallOutEi	1
NPC_REMOVE_SYNC	cProtocol	79	_ZN4KNpc11ChangeWorldEmii	1
NPC_REMOVE_SYNC	cProtocol	79	_ZN4KNpc6SetPosEiii	1
NPC_REMOVE_SYNC	cProtocol	79	_ZN4KNpc7SetHideEi	1
NPC_REMOVE_SYNC	cProtocol	79	_ZN7KNpcSet6RemoveEi	1
NPC_REQUEST_FAIL	cProtocol	-118	_ZN7KNpcSet14SyncNpc2PlayerEmii	1
NPC_REVIVE_SYNC	cProtocol	-119	_ZN4KNpc15BroadCastReviveEi	1
NPC_REVIVE_SYNC	cProtocol	-119	_ZN7KPlayer6ReviveEii	1
NPC_RUN_SYNC	cProtocol	81	_ZN4KNpc5DoRunEv	1
NPC_SET_MENU_STATE_SYNC	cProtocol	118	_ZN16KPlayerMenuState8SetStateEiiPcim	5
NPC_SET_MENU_STATE_SYNC	cProtocol	118	_ZN5KTeam11SetTeamOpenEv	1
NPC_SET_MENU_STATE_SYNC	cProtocol	118	_ZN5KTeam12SetTeamCloseEv	1
NPC_SIT_SYNC	cProtocol	-125	_ZN4KNpc5DoSitEv	1
NPC_SKILL_SYNC	cProtocol	-123	_Z20NpcDirectlyCastSkilliiiii	1
NPC_SKILL_SYNC	cProtocol	-123	_ZN14KSkillAutoCast8AutoCastEi	1
NPC_SKILL_SYNC	cProtocol	-123	_ZN4KNpc8CastAuraEii	2
NPC_SKILL_SYNC	cProtocol	-123	_ZN9KItemList11EatMecidineEim	1
NPC_SKILL_SYNC	cProtocol	90	_ZN4KNpc7DoSkillEii	1
NPC_SLEEP_SYNC	cProtocol	-108	_ZN7KPlayer23SetLastNetOperationTimeEi	1
NPC_SLEEP_SYNC	cProtocol	-108	_ZN7KPlayer6ActiveEv	1
NPC_SYNC	cProtocol	76	_ZN4KNpc12SendSyncDataEP7KPlayer	1
